種別,地域階層,地域,和暦（年度）,西暦（年度）,職員数（本務者）（人）,職員数（本務者）／男（人）,職員数（本務者）／女（人）,職員数（本務者）／負担法による者（公立）／事務職員／男（人）,職員数（本務者）／負担法による者（公立）／事務職員／女（人）,職員数（本務者）／負担法による者（公立）／学校栄養職員／男（人）,職員数（本務者）／負担法による者（公立）／学校栄養職員／女（人）,職員数（本務者）／その他の者／「教員数（本務者）」以外の職員／男（人）,職員数（本務者）／その他の者／「教員数（本務者）」以外の職員／女（人）,職員数（本務者）／その他の者／事務職員／男（人）,職員数（本務者）／その他の者／事務職員／女（人）,職員数（本務者）／その他の者／学校図書館事務員／男（人）,職員数（本務者）／その他の者／学校図書館事務員／女（人）,職員数（本務者）／その他の者／養護職員（看護師等）／男（人）,職員数（本務者）／その他の者／養護職員（看護師等）／女（人）,職員数（本務者）／その他の者／学校栄養職員／男（人）,職員数（本務者）／その他の者／学校栄養職員／女（人）,職員数（本務者）／その他の者／学校給食調理従事者／男（人）,職員数（本務者）／その他の者／学校給食調理従事者／女（人）,職員数（本務者）／その他の者／用務員／男（人）,職員数（本務者）／その他の者／用務員／女（人）,職員数（本務者）／その他の者／警備員・その他／男（人）,職員数（本務者）／その他の者／警備員・その他／女（人）
私立,2,清瀬市,令和4,2022,1,－,1,…,…,…,…,…,…,－,1,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,東久留米市,令和4,2022,10,1,9,…,…,…,…,…,…,1,1,－,2,－,－,－,1,－,4,－,－,－,1
私立,2,武蔵村山市,令和4,2022,－,－,－,…,…,…,…,…,…,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,多摩市,令和4,2022,5,3,2,…,…,…,…,…,…,2,1,－,－,－,1,－,－,－,－,－,－,1,－
私立,2,稲城市,令和4,2022,2,－,2,…,…,…,…,…,…,－,1,－,－,－,－,－,－,－,－,－,－,－,1
私立,2,羽村市,令和4,2022,－,－,－,…,…,…,…,…,…,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,あきる野市,令和4,2022,2,1,1,…,…,…,…,…,…,1,1,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,西東京市,令和4,2022,1,－,1,…,…,…,…,…,…,－,－,－,－,－,－,－,－,－,－,－,－,－,1
私立,1,郡部,令和4,2022,－,－,－,…,…,…,…,…,…,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,瑞穂町,令和4,2022,－,－,－,…,…,…,…,…,…,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,日の出町,令和4,2022,－,－,－,…,…,…,…,…,…,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,檜原村,令和4,2022,－,－,－,…,…,…,…,…,…,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,奥多摩町,令和4,2022,－,－,－,…,…,…,…,…,…,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,1,島部,令和4,2022,－,－,－,…,…,…,…,…,…,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,大島町,令和4,2022,－,－,－,…,…,…,…,…,…,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,利島村,令和4,2022,－,－,－,…,…,…,…,…,…,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,新島村,令和4,2022,－,－,－,…,…,…,…,…,…,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,神津島村,令和4,2022,－,－,－,…,…,…,…,…,…,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,三宅村,令和4,2022,－,－,－,…,…,…,…,…,…,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,御蔵島村,令和4,2022,－,－,－,…,…,…,…,…,…,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,八丈町,令和4,2022,－,－,－,…,…,…,…,…,…,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,青ヶ島村,令和4,2022,－,－,－,…,…,…,…,…,…,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,小笠原村,令和4,2022,－,－,－,…,…,…,…,…,…,－,－,－,－,－,－,－,－,－,－,－,－,－,－
,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和４年度　学校基本統計（学校基本調査報告書）,,,,,,,,,,,,,,,,,,,,,,,,,,,
５－７　中学校　区市町村、職種別職員数,,,,,,,,,,,,,,,,,,,,,,,,,,,
注１）負担法による者とは、公立学校の職員で、「市町村立学校職員給与負担法」による者である。,,,,,,,,,,,,,,,,,,,,,,,,,,,
注２）「教員数（本務者）」以外の教員とは、教員として発令されているが、関係諸法令に定める要件を満たさず市町村費により給与が支給されている者をいう。,,,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部　2:区市町村）,,,,,,,,,,,,,,,,,,,,,,,,,,,
