id,q1,q2,q3,q4_1,q4_2,q5_1,q5_2,q5_3,q5_4,q5_5,q5_6,q6_ア,q6_イ,q6_ウ,q6_エ,q6_オ,q7_1,q7_2,q7_3,q7_4,q7_5,q7_6,q8_1_1,q8_1_2,q8_1_3,q8_1_4,q8_1_5,q8_1_6,q8_1_7,q8_2_1,q8_2_2,q8_2_3,q8_2_4,q8_2_5,q8_2_6,q8_2_7,q8_3_1,q8_3_2,q8_3_3,q8_3_4,q8_3_5,q8_3_6,q8_3_7,q9_1,q9_2,q9_3,q9_4,q9_5,q9_6,q9_7,q10_1,q10_2,q10_3,q10_4,q10_5,q10_6,q11_1,q11_2,q11_3,q11_4,q11_5,q11_6,q12_1_1,q12_1_2,q12_1_3,q12_2_1,q12_2_2,q12_2_3,q12_3_1,q12_3_2,q12_3_3,q13_ア,q13_イ,q13_ウ,q13_エ,q13_オ,q13_カ,q13_キ,q13_ク,q13_ケ,q13_コ,q13_サ,q13_シ,q13_ス,q14_1,q14_2,q15_1,q15_2a,q15_2b,q15_2c,q15_2d,q15_2e,q15_2f,q15_3_1,q15_3_2,q15_3_3,q15_3_4,q15_3_5,q16_1,q16_2,q16_3,q17_a,q17_b,q17_c,q17_d,q17_e,q19_a,q19_b,q19_c,q19_d,q19_e,q19_f,q19_g,q19_h,q19_i,q19_j,q19_k,q20,q21,q22_1,q22_2,q22_3,q22_4,q22_5,q22_6,q22_7,q22_8,q22_9,q22_10,q22_11,q22_12,q22_13
254,1,7,4,3,4,8,1,7,2,1,1,5,6,6,6,6,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,1,1,2,,,,,,,,,,,,3,3,1,1,2,1,1,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,
255,3,7,6,3,3,8,2,6,18,2,16,5,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,,,,,,,,,,,,,1,1,2,1,1,2,1,1,2,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,2,2,2,2,2,,,,,,,,,,,,1,1,,,,,,,,,,,,,
256,4,7,6,3,3,4,4,,4,4,,5,3,3,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,3,3,,,2,2,4,2,,4,2,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,,,,,,,,,,,,2,2,1,2,2,1,2,1,0,0,1,0,0,0,0,0,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,1,0
257,2,7,6,3,3,3,1,2,3,1,2,5,2,3,6,6,,,,,,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,2,2,4,2,2,4,2,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,,,,,,,1,0,0,0,0,1,1,1,1,1,1,4,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0
258,2,7,4,3,3,4,2,2,2,1,1,3,3,,6,6,,,,,,,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,,,,,,,3,3,3,,,,5,4,4,5,4,4,5,4,4,1,0,1,0,0,0,0,0,1,0,0,0,0,3,2,2,,,,,,,,,,,,1,1,1,1,5,1,4,1,0,0,1,1,0,1,0,0,1,0,0,2,,0,0,0,0,1,0,1,1,1,0,0,0,0
259,1,7,5,3,3,7,4,3,2,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,,,,,,,,,,,,,5,4,4,5,4,4,5,4,4,,,,,,,,,,,,,,3,1,2,,,,,,,,,,,,1,1,1,5,5,2,2,2,,,,,,,,,,,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1
260,1,7,6,3,3,7,2,5,7,2,5,5,6,6,6,6,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,,,,,4,4,4,4,4,4,5,4,4,5,4,4,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,,,,,,,,,,,,2,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
261,1,7,5,1,1,3,2,1,2,2,,5,6,6,6,6,,,,,,,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,,,,,,,4,4,4,4,4,4,5,4,4,5,,,5,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,4,5,2,,,,,,,,,,,,1,1,1,2,4,5,4,1,1,0,0,1,0,0,0,0,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,1,0
262,2,7,1,,,,,,8,5,3,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,,,,,,4,1,1,1,4,4,,,,,,,2,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,3,3,1,0,1,1,1,0,0,1,0,0,0,0,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,2,,,,,,,,,,,,,,
263,,3,4,5,5,25,2,23,25,2,23,,,,,,1,1,1,1,6,6,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,,,,,,,,1,1,0,0,0,0,3,3,4,1,4,4,2,4,4,2,4,4,2,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,,,1,5,5,5,5,5,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
264,3,7,1,4,,,,,7,7,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,5,4,4,5,4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,5,5,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
265,3,1,4,,,20,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,4,4,4,4,4,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1,2,,,,,,,,,,,,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,2,,0,0,1,1,0,0,1,0,0,1,0,0,0
266,2,7,4,4,4,5,2,3,5,2,3,5,2,6,6,6,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,2,2,4,2,2,4,2,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,,,,,,,,,,,,,1,1,1,2,5,4,4,2,0,0,0,1,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,
267,1,3,5,1,1,5,3,2,5,3,2,,,,,,6,6,6,2,6,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,,,,,,,,1,1,0,0,0,0,4,1,4,1,4,4,1,2,1,1,2,1,1,2,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,2,5,4,1,4,1,1,0,1,1,0,0,0,0,0,0,0,2,,0,0,0,0,1,0,0,0,1,0,1,0,0
268,1,9,6,5,5,24,24,,24,24,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,4,1,1,1,4,4,1,4,4,1,2,4,5,4,4,,,,,,,,,,,,,,1,1,1,0,0,0,0,1,0,1,1,0,0,0,2,1,2,1,4,1,4,1,1,0,1,1,0,1,0,0,0,0,0,2,,0,0,0,0,1,0,0,1,1,0,0,0,0
269,4,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,1,7,4,5,5,4,,,4,,,4,2,4,4,6,,,,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,4,4,1,1,4,4,1,2,4,1,1,4,1,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,,0,1,1,0,0,0,1,1,0,1,0,,,1,,,,,,0,0,0,0,0,0,0,0,0,1,0,2,,0,0,0,0,1,0,0,0,1,0,1,0,0
271,3,7,4,4,4,30,4,26,40,3,37,5,3,6,6,6,,,,,,,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,3,3,,,,,1,1,4,1,1,4,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,,,,,,,,,,,,3,1,1,2,4,2,2,1,0,0,1,0,0,0,0,0,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,1,0
272,1,7,4,5,5,10,5,5,5,2,3,5,6,6,6,6,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,4,4,4,4,4,4,5,4,4,1,4,4,5,4,4,0,0,0,0,0,1,0,0,1,0,0,0,0,3,3,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,2,4,5,4,1,0,0,1,0,0,1,0,0,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,1,0
273,3,7,5,4,4,5,0,5,5,0,5,5,1,1,6,6,,,,,,,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,4,4,3,3,4,4,5,4,4,5,4,4,5,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,2,,,,,,,,,,,,1,1,1,1,5,4,4,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
274,5,7,6,3,3,11,,10,6,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,,,,,,,,,,,,,5,2,2,5,2,2,5,2,2,0,0,1,0,0,1,1,0,1,0,0,0,0,2,2,2,,,,,,,,,,,,,,1,2,4,2,4,1,0,0,1,1,0,0,0,0,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,1,0
275,1,1,4,5,5,9,2,7,6,2,4,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,1,,,,1,4,4,5,4,4,5,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2,2,,,,,,,,,,,,,1,1,5,5,5,5,5,0,0,0,0,0,0,0,0,0,1,0,2,,1,0,0,0,0,0,0,0,0,0,0,0,0
276,4,7,3,2,2,4,2,2,5,1,4,5,,,,,,,,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,3,,,,,,2,4,4,2,4,4,2,4,4,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,,,,,,1,,1,,,,4,,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0
277,1,7,3,5,5,,1,20,16,1,15,5,3,5,6,6,,,,,,,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,,,,,,,4,4,1,1,4,4,2,4,4,2,4,4,5,4,4,1,1,1,0,0,0,0,0,1,0,0,0,0,3,5,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,5,5,5,5,5,0,0,0,0,0,1,0,0,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,1,0
278,1,7,6,3,3,3,3,,3,3,,5,6,6,6,6,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,4,4,4,4,4,4,1,4,4,5,4,4,5,4,4,,,,,,,,,,,,,,3,3,2,,,,,,,,,,,,1,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,2,,0,0,0,0,0,0,0,0,0,0,0,1,0
279,,7,6,4,4,6,4,2,6,4,2,3,2,2,6,6,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,,,,,,4,3,3,3,4,4,4,4,1,5,2,4,4,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,3,3,1,1,4,5,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
280,1,7,4,3,3,4,3,1,4,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,,,3,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,1,1,1,1,4,,4,,,,,,,,,,,,,2,,,,,,,,,,,,,,
281,3,3,3,5,5,5,2,3,4,1,3,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,4,4,4,4,4,4,5,4,4,5,4,4,5,4,4,,,,,,,,,,,,,,1,1,2,,,,,,,,,,,,3,3,3,5,5,5,5,5,,,,,,,,,,,,2,,0,0,0,0,0,0,0,0,0,0,0,1,0
282,3,8,3,3,3,7,3,4,7,3,4,5,,,,,,,,,,,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,1,1,,,,5,4,4,2,4,4,5,4,4,0,1,1,0,0,0,0,1,1,0,0,0,0,3,3,1,0,0,0,0,1,0,1,0,0,1,0,2,3,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,2,,0,0,0,0,0,0,0,1,1,0,0,0,0
283,1,3,4,5,5,21,1,20,12,2,10,,,,,,3,2,2,6,2,3,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,,,,,,,,1,0,0,0,0,0,2,2,3,4,3,3,2,2,4,2,2,4,3,1,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,4,2,,,,,,,,,,,,2,1,2,2,4,2,2,2,0,0,0,0,0,1,1,0,1,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,1,0
284,3,5,3,5,5,5,4,1,4,2,2,,,,,,,,,,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,4,3,4,4,4,4,3,4,4,1,4,4,1,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,5,8,1,0,1,1,0,1,0,1,0,0,0,0,1,3,3,1,1,5,5,1,1,1,1,0,1,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0
285,3,7,5,4,4,4,2,2,4,2,2,5,6,6,6,6,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,1,2,2,1,2,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,,,,,,,,,,,,1,1,1,1,1,1,4,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
286,3,1,4,4,4,34,3,31,37,3,34,,,,,,,,,,,,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,4,3,3,3,3,2,5,4,4,5,4,4,5,4,4,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
287,1,7,5,5,5,4,2,2,4,2,2,5,6,6,6,6,,,,,,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,4,4,4,4,4,4,2,4,4,2,4,4,5,4,4,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,,3,1,5,5,5,4,5,0,0,1,1,0,0,0,0,0,0,0,2,,0,0,0,0,0,0,0,1,0,0,0,0,0
288,1,8,3,1,2,1,,,1,,,5,2,6,6,6,,,,,,,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,4,4,1,1,4,4,2,2,2,2,2,2,2,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,,,,,,,0,1,0,0,0,2,2,1,5,5,5,5,2,0,0,1,0,0,0,0,0,1,0,0,2,,0,0,1,0,0,0,0,1,0,0,0,0,0
289,1,1,3,4,4,3,0,3,3,0,3,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,4,3,3,3,3,3,2,4,4,2,4,4,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,,,,,,,,,,,,2,3,2,1,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,2,,1,0,0,0,0,0,0,0,0,0,0,0,0
290,1,7,6,1,1,2,,2,2,,2,5,4,5,6,6,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,,,,,,,,,,1,,,1,4,4,1,4,4,1,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,2,,,,,,,,,,,,2,,1,1,5,4,,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
291,3,7,2,1,1,0,,,1,,1,5,6,6,6,6,,,,,,,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,,,,,,,4,3,3,3,4,4,,2,4,,2,4,5,4,4,1,1,0,0,0,0,0,1,1,0,0,0,0,4,3,,,,,,,,,,,,,1,3,1,5,5,5,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0
292,2,7,2,3,3,1,1,,1,1,,5,6,2,6,6,,,,,,,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,,,,,,,4,4,1,1,4,4,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,,,,,,,,,,,,1,1,1,1,4,1,4,1,0,0,0,1,1,0,0,0,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,1,0
293,,7,5,,,100,,,100,,,5,2,3,6,6,,,,,,,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,,,,,,,,1,1,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,1,0,0,1,4,,,,,,,,,,,,,1,,1,,,,,,0,0,0,1,0,0,1,0,0,0,0,,,,,,,,,,,,,,,
294,2,7,4,4,4,10,6,4,8,5,3,4,6,6,6,6,,,,,,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,1,4,4,4,4,4,5,4,4,5,4,4,5,4,4,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,2,,,,,,,,,,,,1,1,1,2,2,2,2,1,0,0,0,0,0,0,0,0,0,1,0,2,,0,0,0,0,0,0,1,1,0,0,0,0,0
295,2,7,6,2,2,1,,,1,,,5,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,4,4,4,4,4,5,2,4,2,4,4,5,4,4,1,0,1,0,0,0,1,0,0,0,0,0,0,,,,0,0,0,0,1,0,,,,,,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,1,0
296,1,7,4,1,1,3,2,1,5,2,3,5,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,,,,,,,,,2,4,4,2,4,4,5,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,4,,,,,,,,,,,,,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,,,,,,,,,,,,,
297,1,7,3,2,2,2,2,,2,2,,5,6,6,6,6,,,,,,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,4,4,4,3,4,4,1,2,2,1,2,4,1,2,4,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,2,,,,,,,,,,,,1,1,1,1,5,1,4,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0
298,1,7,3,3,3,4,4,,3,3,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,,,3,,,,,,5,4,4,2,4,4,3,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1,3,2,,,,,,,,,,,,3,3,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,2,,,,,,,,,,,,,,
299,1,7,6,,,2,2,,2,2,,5,3,,,,,,,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,3,,,,5,4,4,5,4,4,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,,,,,,,,,,,,2,1,1,2,2,1,2,1,0,0,1,0,0,0,0,0,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,1,0
300,2,1,4,1,1,1,1,,1,1,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,4,4,4,4,4,4,2,2,4,2,2,4,2,2,4,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,2,,,,,,,,,,,,2,2,2,5,5,5,2,2,0,0,0,0,0,0,0,0,0,1,0,2,,0,0,0,0,0,0,0,0,0,0,0,1,0
302,1,3,6,3,3,3,3,,3,3,,,,,,,4,4,4,4,4,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,1,3,3,3,4,3,3,,4,4,,4,4,,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,2,,,,,,,,,,,,1,1,2,2,2,2,2,2,0,0,1,1,0,0,0,0,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,1,0
303,3,7,5,4,4,8,3,5,8,3,5,5,6,6,6,6,,,,,,,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,4,4,4,4,4,4,5,4,4,5,4,4,5,4,4,1,0,1,0,1,0,1,0,0,0,0,0,0,3,1,2,,,,,,,,,,,,1,1,1,4,4,1,4,1,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0
304,,7,2,5,5,15,4,11,15,1,14,5,6,6,6,6,,,,,,,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,1,4,4,1,4,4,1,4,4,1,1,0,0,0,0,0,1,1,0,0,0,0,3,3,1,0,0,0,0,1,0,1,0,0,1,0,1,2,1,5,5,5,5,5,0,0,0,1,0,0,0,0,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,1,0
305,2,7,4,,,,,,,,,5,1,6,6,6,,,,,,,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,,,,,,4,4,4,3,4,4,2,4,4,2,4,4,2,4,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,,,,1,4,1,4,1,0,1,0,0,0,1,0,0,1,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,1,0
306,3,3,6,4,4,5,3,2,5,3,2,,,,,,6,6,5,6,6,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,,,,,,,,1,0,0,0,0,0,4,4,3,4,4,4,3,2,2,2,2,2,3,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,2,2,1,2,4,2,4,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0
307,3,7,6,5,5,28,4,24,23,4,19,5,6,6,6,6,,,,,,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,3,3,4,4,4,4,5,2,2,5,2,2,5,2,2,1,1,1,0,0,0,1,0,1,0,0,0,0,1,2,2,,,,,,,,,,,,,1,1,2,4,2,2,2,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
308,2,7,4,4,4,10,9,,4,3,,4,5,6,6,6,,,,,,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,4,4,4,4,4,4,2,2,4,2,2,4,2,2,4,1,0,0,0,0,0,0,0,1,0,0,0,1,2,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,4,1,4,1,0,1,0,0,0,1,1,0,0,0,0,2,,1,0,0,0,1,0,0,0,1,0,0,0,0
309,1,8,6,2,2,2,2,,2,2,,5,4,6,6,6,,,,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,4,4,3,3,4,4,5,2,2,5,4,4,5,4,4,0,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,,,,,,,0,1,0,1,0,1,3,1,2,4,1,4,1,0,0,1,0,0,0,0,0,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,1,0
310,5,7,4,3,3,10,5,6,7,3,4,5,2,6,6,6,,,,,,,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,1,1,0,0,0,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,1,1,4,5,5,7,4,3,7,4,3,,,,,,,,,,,,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,,,,,,,,,,,,,,3,3,3,3,3,3,5,4,4,5,4,4,5,4,4,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,2,3,2,1,5,1,4,1,0,0,1,1,0,1,1,0,0,0,0,2,,1,0,0,0,0,0,0,0,0,0,0,0,0
