区,番号,避難場所名,所在地,区域面積（ｍ２）,避難有効面積（ｍ２）,区別地区割当１,区別地区割当２,町丁数,避難計画人口（人）,１人当たり避難有効面積（ｍ２／人）,最遠避難距離（ｋｍ）
港区,17,明治神宮外苑地区,港区北青山／新宿区霞ヶ丘町／渋谷区神宮前、千駄ヶ谷,※,※,新宿区,荒木町、市谷本村町の一部、霞ヶ丘町、片町、坂町、左門町、三栄町、信濃町、須賀町、大京町、南元町、四谷２～３丁目、若葉２～３丁目,15,※,※,※
港区,17,明治神宮外苑地区,港区北青山／新宿区霞ヶ丘町／渋谷区神宮前、千駄ヶ谷,※,※,渋谷区,神宮前２～３丁目の各一部、千駄ケ谷１～２丁目の各一部,4,※,※,※
新宿区,7,迎賓館一帯,港区元赤坂／新宿区南元町、四谷、若葉,89472,62869,港区,元赤坂１～２丁目,2,22359,2.81,0.9
新宿区,7,迎賓館一帯,港区元赤坂／新宿区南元町、四谷、若葉,※,※,新宿区,四谷１丁目、市谷本村町の一部、若葉１丁目、本塩町,4,※,※,※
新宿区,16,戸山公園一帯,新宿区大久保、戸山,724585,404342,新宿区,原町１～３丁目、戸山１～３丁目、高田馬場１～２丁目、市谷加賀町１～２丁目、市谷甲良町、市谷山伏町、市谷薬王寺町、市谷柳町、若松町、新宿７丁目、６丁目の一部、西早稲田２丁目の一部、早稲田南町、大久保１～３丁目、南榎町、南山伏町、百人町１～２丁目の各一部、弁天町、北山伏町、喜久井町、馬場下町,30,117724,3.43,1.6
新宿区,17,明治神宮外苑地区,港区北青山／新宿区霞ヶ丘町／渋谷区神宮前、千駄ヶ谷,701606,405113,港区,北青山１～３丁目,3,92689,4.37,2.0
新宿区,17,明治神宮外苑地区,港区北青山／新宿区霞ヶ丘町／渋谷区神宮前、千駄ヶ谷,※,※,新宿区,荒木町、市谷本村町の一部、霞ヶ丘町、片町、坂町、左門町、三栄町、信濃町、須賀町、大京町、南元町、四谷２～３丁目、若葉２～３丁目,15,※,※,※
新宿区,17,明治神宮外苑地区,港区北青山／新宿区霞ヶ丘町／渋谷区神宮前、千駄ヶ谷,※,※,渋谷区,神宮前２～３丁目の各一部、千駄ケ谷１～２丁目の各一部,4,※,※,※
新宿区,18,新宿御苑,新宿区内藤町／渋谷区千駄ヶ谷,595701,391912,新宿区,愛住町、市谷台町、市谷仲之町、歌舞伎町１～２丁目、新宿１～５丁目、６丁目の一部、住吉町、内藤町、舟町、余丁町、四谷４丁目、富久町、河田町,18,167272,2.34,1.3
新宿区,18,新宿御苑,新宿区内藤町／渋谷区千駄ヶ谷,※,※,渋谷区,千駄ケ谷５～６丁目,2,※,※,※
新宿区,19,新宿中央公園・高層ビル群一帯,新宿区西新宿,352047,182169,新宿区,西新宿４～５、８丁目、３丁目の一部,4,65498,2.78,1.4
新宿区,19,新宿中央公園・高層ビル群一帯,新宿区西新宿,※,※,渋谷区,本町３丁目,1,※,※,※
新宿区,19,新宿中央公園・高層ビル群一帯,新宿区西新宿,※,※,中野区,本町１～３丁目、弥生町１丁目、３丁目の一部,5,※,※,※
新宿区,20,百人町三・四丁目地区,新宿区百人町,249086,120115,新宿区,高田馬場３～４丁目、百人町３～４丁目、１～２丁目の各一部、北新宿１～４丁目,10,69803,1.72,1.3
新宿区,20,百人町三・四丁目地区,新宿区百人町,※,※,中野区,中央１丁目、東中野１丁目,2,※,※,※
新宿区,23,後楽園一帯,文京区春日、後楽,402421,193692,新宿区,横寺町、下宮比町、改代町、岩戸町、細工町、市谷左内町、市谷砂土原町１～３丁目、市谷船河原町、市谷鷹匠町、市谷長延寺町、市谷田町１～３丁目、市谷八幡町、若宮町、新小川町、神楽河岸、神楽坂１～６丁目、水道町、西五軒町、赤城下町、赤城元町、袋町、箪笥町、築地町、筑土八幡町、中町、津久戸町、東五軒町、南町、二十騎町、納戸町、白銀町、払方町、北町、矢来町、揚場町,44,133837,1.45,1.7
新宿区,23,後楽園一帯,文京区春日、後楽,※,※,文京区,関口１丁目の一部、後楽１～２丁目、春日１～２丁目、小石川２丁目、１、３丁目の各一部、小日向１～２、４丁目の各一部、水道１～２丁目、西片１丁目の一部、本郷１丁目、２、４～５丁目の各一部,18,※,※,※
新宿区,68,哲学堂公園一帯,新宿区西落合、中井／中野区上高田、松が丘,197297,79082,新宿区,上落合３丁目、西落合１～４丁目、中井１～２丁目、中落合３～４丁目,9,78038,1.01,1.8
新宿区,68,哲学堂公園一帯,新宿区西落合、中井／中野区上高田、松が丘,※,※,中野区,江古田１丁目、松が丘１～２丁目、上高田１～５丁目、新井５丁目、中野６丁目、東中野３丁目,11,※,※,※
新宿区,68,哲学堂公園一帯,新宿区西落合、中井／中野区上高田、松が丘,※,※,豊島区,南長崎４～６丁目,3,※,※,※
新宿区,86,学習院大学,豊島区目白,232075,130143,新宿区,下落合３丁目,1,83795,1.55,2.3
新宿区,86,学習院大学,豊島区目白,※,※,豊島区,高田１～３丁目、雑司が谷２～３丁目の各一部、西池袋２丁目、千早１～３丁目、長崎１～５丁目、南池袋１丁目の一部、南長崎１～３丁目、目白１～５丁目,23,※,※,※
新宿区,211,早稲田大学早稲田キャンパス一帯,新宿区戸塚町、西早稲田、早稲田鶴巻町,206350,81377,新宿区,榎町、戸塚町１丁目、山吹町、西早稲田１、３丁目、２丁目の一部、早稲田町、早稲田鶴巻町、中里町、天神町、東榎町,11,53140,1.53,0.9
新宿区,212,落合中央公園,新宿区上落合,81754,33522,新宿区,上落合１～２丁目、中落合１丁目,3,20761,1.61,1.0
新宿区,212,落合中央公園,新宿区上落合,※,※,中野区,東中野４～５丁目,2,※,※,※
新宿区,215,おとめ山公園地区一帯,新宿区下落合,50563,23284,新宿区,下落合１～２、４丁目、中落合２丁目,4,14676,1.59,1.0
文京区,21,六義園,文京区本駒込,100865,52655,文京区,千駄木４丁目、５丁目の一部、本駒込１～６丁目,8,29723,1.77,1.2
文京区,22,東京大学,文京区本郷、弥生,421600,198132,文京区,向丘１～２丁目、根津１～２丁目、西片２丁目、１丁目の一部、千駄木１～３丁目、５丁目の一部、湯島１～４丁目、本郷３、６～７丁目、２、４～５丁目の各一部、弥生１～２丁目,22,122604,1.62,1.3
文京区,23,後楽園一帯,文京区春日、後楽,402421,193692,新宿区,横寺町、下宮比町、改代町、岩戸町、細工町、市谷左内町、市谷砂土原町１～３丁目、市谷船河原町、市谷鷹匠町、市谷長延寺町、市谷田町１～３丁目、市谷八幡町、若宮町、新小川町、神楽河岸、神楽坂１～６丁目、水道町、西五軒町、赤城下町、赤城元町、袋町、箪笥町、築地町、筑土八幡町、中町、津久戸町、東五軒町、南町、二十騎町、納戸町、白銀町、払方町、北町、矢来町、揚場町,44,133837,1.45,1.7
文京区,23,後楽園一帯,文京区春日、後楽,※,※,文京区,関口１丁目の一部、後楽１～２丁目、春日１～２丁目、小石川２丁目、１、３丁目の各一部、小日向１～２、４丁目の各一部、水道１～２丁目、西片１丁目の一部、本郷１丁目、２、４～５丁目の各一部,18,※,※,※
文京区,24,お茶の水女子大学一帯・教育の森公園一帯,文京区大塚,350054,190037,文京区,音羽１丁目の一部、小石川４～５丁目、小日向３丁目、１～２、４丁目の各一部、千石３～４丁目、１～２丁目の各一部、大塚１、３丁目、２、４丁目の各一部,15,63980,2.97,1.2
文京区,24,お茶の水女子大学一帯・教育の森公園一帯,文京区大塚,※,※,豊島区,南大塚２丁目、１、３丁目の各一部,3,※,※,※
文京区,26,護国寺一帯,文京区大塚,168809,81049,文京区,音羽２丁目、大塚５～６丁目、２、４丁目の各一部,5,12093,6.70,0.4
文京区,151,小石川植物園,文京区白山,161202,67575,文京区,小石川１、３丁目の各一部、西片１丁目の一部、千石１～２丁目の各一部、白山１～５丁目,10,35533,1.90,0.6
文京区,195,目白台運動公園付近一帯,文京区関口、目白台,162584,68395,文京区,音羽１丁目の一部、関口２～３丁目、１丁目の一部、目白台１～３丁目,7,22613,3.02,0.6
台東区,27,谷中墓地,台東区谷中、上野桜木,143653,50426,台東区,上野桜木２丁目、１丁目の一部、谷中１～７丁目,9,33285,1.51,0.9
台東区,27,谷中墓地,台東区谷中、上野桜木,※,※,荒川区,西日暮里２～５丁目、東日暮里５～６丁目の各一部,6,※,※,※
台東区,28,上野公園一帯,台東区上野公園、上野桜木、池之端,705824,415733,台東区,下谷１～３丁目、元浅草１～４丁目、根岸１～５丁目、三ノ輪１～２丁目、三筋１～２丁目、寿１～２丁目、小島１～２丁目、松が谷１～４丁目、上野７丁目、上野公園、上野桜木１丁目の一部、西浅草１～３丁目、千束１～３丁目、４丁目の一部、浅草２～５丁目の各一部、浅草橋１～５丁目、蔵前１～４丁目、台東１～４丁目、池之端１～４丁目、鳥越１～２丁目、東上野１～６丁目、日本堤２丁目の一部、入谷１～２丁目、北上野１～２丁目、柳橋１～２丁目、竜泉１～３丁目,73,219220,1.90,2.2
台東区,28,上野公園一帯,台東区上野公園、上野桜木、池之端,※,※,荒川区,東日暮里４丁目、１～３、５～６丁目の各一部,6,※,※,※
台東区,166,隅田公園一帯,台東区浅草、今戸、花川戸,101988,72345,台東区,花川戸１～２丁目、橋場１～２丁目、駒形１～２丁目、今戸１～２丁目、寿３～４丁目、清川１～２丁目、千束４丁目の一部、浅草１、６～７丁目、２～５丁目の各一部、東浅草１～２丁目、日本堤１丁目、２丁目の一部、雷門１～２丁目,26,60633,1.19,1.3
墨田区,36,猿江恩賜公園一帯,江東区猿江、住吉、毛利,185322,114223,墨田区,菊川３丁目、江東橋５丁目、立川４丁目,3,45317,2.52,1.0
墨田区,36,猿江恩賜公園一帯,江東区猿江、住吉、毛利,※,※,江東区,猿江１～２丁目、亀戸１丁目、住吉１～２丁目、大島１～２丁目、毛利１～２丁目,9,※,※,※
墨田区,122,白鬚東地区,墨田区堤通,270599,161549,墨田区,押上２丁目の一部、向島４～５丁目の各一部、堤通１～２丁目、東向島１～４丁目、５～６丁目の各一部、墨田１～２、５丁目、墨田３丁目の一部,15,41352,3.91,1.5
墨田区,123,都営文花一丁目住宅一帯,墨田区文花,128877,46533,墨田区,押上３丁目、１～２丁目の各一部、京島１～３丁目、文花１～２丁目、３丁目の一部,9,28915,1.61,0.9
墨田区,140,両国地区,墨田区横網,211262,84313,墨田区,横網１～２丁目、亀沢１～４丁目、菊川１～２丁目、石原１～４丁目、千歳１～３丁目、本所１～３丁目、立川１～３丁目、両国１～４丁目、緑１～４丁目,29,69134,1.22,1.2
墨田区,152,荒川・四ツ木橋緑地,墨田区墨田、東墨田、八広,248110,85626,墨田区,東向島５～６丁目の各一部、東墨田１～３丁目、八広１～６丁目、文花３丁目の一部、墨田４丁目、３丁目の一部、立花５～６丁目,16,40327,2.12,1.3
墨田区,153,墨田区役所・隅田公園自由広場一帯,墨田区吾妻橋、向島,90807,33374,墨田区,押上１～２丁目の各一部、吾妻橋１～３丁目、向島１～３丁目、４～５丁目の各一部、東駒形１～４丁目、本所４丁目,15,30752,1.09,1.0
墨田区,154,錦糸公園,墨田区錦糸,56516,44055,墨田区,横川１～５丁目、業平１～５丁目、太平１～４丁目,14,28061,1.57,1.1
墨田区,155,立花一丁目団地一帯,墨田区立花,91223,38784,墨田区,文花３丁目の一部、立花１～４丁目,5,15506,2.50,0.5
江東区,29,大島・北砂団地一帯,江東区大島、北砂,437611,166565,江東区,亀戸６丁目、大島３～６丁目、北砂３～７丁目,10,72324,2.30,0.6
江東区,30,新砂三丁目地区,江東区新砂,462803,196962,江東区,東砂５～８丁目、南砂６～７丁目、３～４丁目の各一部,8,26351,7.47,1.2
江東区,32,公社南砂二丁目団地一帯,江東区南砂,154904,83158,江東区,南砂１～２、５丁目、３～４丁目の各一部、北砂１～２丁目,7,41053,2.03,1.3
江東区,33,辰巳団地・潮見運動公園一帯,江東区潮見、辰巳,734760,493918,江東区,枝川１丁目,1,5211,94.78,1.2
江東区,36,猿江恩賜公園一帯,江東区猿江、住吉、毛利,185322,114223,墨田区,菊川３丁目、江東橋５丁目、立川４丁目,3,45317,2.52,1.0
江東区,36,猿江恩賜公園一帯,江東区猿江、住吉、毛利,※,※,江東区,猿江１～２丁目、亀戸１丁目、住吉１～２丁目、大島１～２丁目、毛利１～２丁目,9,※,※,※
江東区,119,亀戸・大島・小松川地区,江東区大島／江戸川区小松川、平井,691863,432482,江東区,大島７～９丁目,3,79178,5.46,1.3
江東区,119,亀戸・大島・小松川地区,江東区大島／江戸川区小松川、平井,※,※,江戸川区,小松川１～４丁目、平井１～７丁目,11,※,※,※
江東区,124,清澄庭園,江東区清澄,88641,49180,江東区,佐賀１～２丁目、三好１丁目、常盤１～２丁目、新大橋１～３丁目、森下１丁目、深川１～２丁目、清澄１～３丁目、白河１丁目、福住１～２丁目、平野１丁目,18,26724,1.84,1.0
江東区,125,東京海洋大学一帯,江東区越中島,200645,116136,江東区,永代１～２丁目、越中島１～２丁目、牡丹１～３丁目、古石場１～３丁目、門前仲町１～２丁目,12,25265,4.60,0.6
江東区,126,亀戸中央公園,江東区亀戸,123998,68842,江東区,亀戸４～５丁目、７～９丁目,5,29563,2.33,0.9
江東区,127,都営東砂二丁目住宅一帯,江東区東砂,87286,40090,江東区,東砂１～４丁目,4,22602,1.77,0.9
江東区,135,木場公園一帯,江東区木場、千石、東陽、平野、三好,368356,241516,江東区,海辺、高橋、三好２～４丁目、森下２～５丁目、石島、千石１～３丁目、千田、扇橋１～３丁目、冬木、東陽１～７丁目、白河２～４丁目、富岡１～２丁目、平野２～４丁目、木場２～５丁目,37,110637,2.18,1.2
江東区,141,亀戸二丁目団地一帯,江東区亀戸,61377,36254,江東区,亀戸２～３丁目,2,15751,2.30,0.7
品川区,12,高輪三丁目・四丁目・御殿山地区,港区高輪／品川区北品川,235437,110924,港区,高輪１～４丁目、白金台２丁目,5,62298,1.78,1.4
品川区,12,高輪三丁目・四丁目・御殿山地区,港区高輪／品川区北品川,※,※,品川区,北品川５～６丁目、４丁目の一部、東五反田１、３丁目の各一部,5,※,※,※
品川区,13,自然教育園・聖心女子学院一帯,港区白金、白金台／品川区上大崎,365905,182103,港区,白金１～６丁目、白金台１、３～５丁目,10,70533,2.58,1.9
品川区,13,自然教育園・聖心女子学院一帯,港区白金、白金台／品川区上大崎,※,※,品川区,荏原１丁目の一部、上大崎１～４丁目、西五反田３、５、６丁目の各一部、東五反田４丁目、１、３丁目の各一部,11,※,※,※
品川区,37,ＪＲアパート・品川区役所一帯,品川区広町,84171,42336,品川区,大井１～３丁目、戸越１丁目、３丁目の一部、西品川３丁目、１～２丁目の各一部、広町２丁目、二葉１丁目、２丁目の一部,11,40205,1.05,1.2
品川区,38,大井ふ頭一帯,品川区八潮／大田区城南島、東海,5140642,2340599,品川区,北品川２丁目の一部、広町１丁目、南品川１～３、５～６丁目、４丁目の一部,8,21418,109.28,1.9
品川区,39,大井競馬場・しながわ区民公園,品川区勝島,504330,311596,品川区,戸越６丁目、西大井１～６丁目、大井４～７丁目、中延４、６丁目、５丁目の一部、東大井１～６丁目、東中延２丁目、南大井１～６丁目、二葉３～４丁目、２丁目の一部、豊町４～６丁目,33,110041,2.83,3.0
品川区,43,東京工業大学,目黒区大岡山、緑が丘／大田区石川町,259195,86789,品川区,荏原７丁目、６丁目の一部、旗の台１～６丁目、小山６～７丁目、西中延２～３丁目、中延３丁目、２、５丁目の各一部,15,85067,1.02,2.5
品川区,43,東京工業大学,目黒区大岡山、緑が丘／大田区石川町,※,※,目黒区,原町１～２丁目、洗足１～２丁目、大岡山１～２丁目、南１～３丁目、緑が丘１～３丁目,12,※,※,※
品川区,43,東京工業大学,目黒区大岡山、緑が丘／大田区石川町,※,※,大田区,石川町１丁目、２丁目の一部、北千束１～２丁目、３丁目の一部,5,※,※,※
品川区,156,林試の森公園,品川区小山台／目黒区下目黒,147898,76146,品川区,荏原２～５丁目、１、６丁目の各一部、小山１～５丁目、小山台１～２丁目、戸越５丁目の一部、中延１丁目、２丁目の一部、西中延１丁目、西五反田４～５丁目の各一部、東中延１丁目、平塚１～３丁目,23,85120,0.89,1.8
品川区,156,林試の森公園,品川区小山台／目黒区下目黒,※,※,目黒区,下目黒３～６丁目の各一部、目黒本町１、３～６丁目,9,※,※,※
品川区,157,戸越公園一帯,品川区豊町,62691,18492,品川区,戸越２、４丁目、３、５丁目の各一部、西品川１～２丁目の各一部、豊町１～３丁目,9,16600,1.11,0.5
品川区,174,天王洲アイル周辺,品川区東品川,227484,123268,品川区,東品川１丁目、南品川４丁目の一部、北品川１、３丁目、２、４丁目の各一部,6,23526,5.24,1.2
品川区,218,大崎駅西口地区一帯,品川区大崎,58978,26302,品川区,大崎２～３丁目、４丁目の一部,3,16283,1.62,0.7
目黒区,40,駒場東大・駒場野公園一帯,目黒区駒場、世田谷区北沢、渋谷区松濤,466330,254831,目黒区,駒場１～４丁目、青葉台１～４丁目、大橋１～２丁目,10,112704,2.26,1.7
目黒区,40,駒場東大・駒場野公園一帯,目黒区駒場、世田谷区北沢、渋谷区松濤,※,※,渋谷区,円山町、松濤２丁目、上原２～３丁目、神泉町、富ケ谷２丁目,6,※,※,※
目黒区,40,駒場東大・駒場野公園一帯,目黒区駒場、世田谷区北沢、渋谷区松濤,※,※,世田谷区,代沢１～５丁目、代田１～２、５～６丁目、大原１丁目、池尻４丁目、北沢１～５丁目,16,※,※,※
目黒区,41,中目黒公園一帯,目黒区中目黒／渋谷区恵比寿南,235039,126863,目黒区,下目黒１～２丁目、３～６丁目の各一部、三田２丁目、上目黒１～２丁目、中町１～２丁目、中目黒１～５丁目、目黒１～４丁目、祐天寺１～２丁目,22,106618,1.19,1.4
目黒区,41,中目黒公園一帯,目黒区中目黒／渋谷区恵比寿南,※,※,渋谷区,猿楽町、恵比寿西１～２丁目、恵比寿南２～３丁目、代官山町、鉢山町、鶯谷町,8,※,※,※
目黒区,42,世田谷公園一帯,目黒区東山／世田谷区池尻,286870,172508,目黒区,五本木１～３丁目、上目黒３～５丁目、東山１～３丁目,9,44846,3.85,1.4
目黒区,42,世田谷公園一帯,目黒区東山／世田谷区池尻,※,※,世田谷区,池尻１～３丁目,3,※,※,※
目黒区,43,東京工業大学,目黒区大岡山、緑が丘／大田区石川町,259195,86789,品川区,荏原７丁目、６丁目の一部、旗の台１～６丁目、小山６～７丁目、西中延２～３丁目、中延３丁目、２、５丁目の各一部,15,85067,1.02,2.5
目黒区,43,東京工業大学,目黒区大岡山、緑が丘／大田区石川町,※,※,目黒区,原町１～２丁目、洗足１～２丁目、大岡山１～２丁目、南１～３丁目、緑が丘１～３丁目,12,※,※,※
目黒区,43,東京工業大学,目黒区大岡山、緑が丘／大田区石川町,※,※,大田区,石川町１丁目、２丁目の一部、北千束１～２丁目、３丁目の一部,5,※,※,※
目黒区,57,駒沢オリンピック公園一帯,目黒区東が丘、八雲／世田谷区駒沢、駒沢公園、深沢,492406,305652,目黒区,柿の木坂１～３丁目、自由が丘１～３丁目、鷹番１～３丁目、中央町１～２丁目、中根１～２丁目、東が丘１～２丁目、八雲１～５丁目、碑文谷１～６丁目、平町１～２丁目、目黒本町２丁目,29,154191,1.98,2.8
目黒区,57,駒沢オリンピック公園一帯,目黒区東が丘、八雲／世田谷区駒沢、駒沢公園、深沢,※,※,世田谷区,駒沢１～５丁目、駒沢公園、弦巻２丁目、上馬２～５丁目、新町１～３丁目、深沢１～２、６丁目、野沢２～４丁目、１丁目の一部,21,※,※,※
目黒区,156,林試の森公園,品川区小山台／目黒区下目黒,147898,76146,品川区,荏原２～５丁目、１、６丁目の各一部、小山１～５丁目、小山台１～２丁目、戸越５丁目の一部、中延１丁目、２丁目の一部、西中延１丁目、西五反田４～５丁目の各一部、東中延１丁目、平塚１～３丁目,23,85120,0.89,1.8
目黒区,156,林試の森公園,品川区小山台／目黒区下目黒,※,※,目黒区,下目黒３～６丁目の各一部、目黒本町１、３～６丁目,9,※,※,※
目黒区,158,恵比寿ガーデンプレイス,目黒区三田／渋谷区恵比寿,109145,49551,目黒区,三田１丁目,1,45257,1.09,0.8
目黒区,158,恵比寿ガーデンプレイス,目黒区三田／渋谷区恵比寿,※,※,渋谷区,恵比寿１～４丁目、恵比寿南１丁目,5,※,※,※
大田区,43,東京工業大学,目黒区大岡山、緑が丘／大田区石川町,259195,86789,品川区,荏原７丁目、６丁目の一部、旗の台１～６丁目、小山６～７丁目、西中延２～３丁目、中延３丁目、２、５丁目の各一部,15,85067,1.02,2.5
大田区,43,東京工業大学,目黒区大岡山、緑が丘／大田区石川町,※,※,目黒区,原町１～２丁目、洗足１～２丁目、大岡山１～２丁目、南１～３丁目、緑が丘１～３丁目,12,※,※,※
大田区,43,東京工業大学,目黒区大岡山、緑が丘／大田区石川町,※,※,大田区,石川町１丁目、２丁目の一部、北千束１～２丁目、３丁目の一部,5,※,※,※
大田区,44,平和島地区,大田区大森東、平和島、平和の森公園,1142439,511951,大田区,山王１～４丁目、大森西１～４、６丁目、５、７丁目の各一部、大森中１丁目の一部、大森東１～２丁目の各一部、大森北１～６丁目、大森本町１～２丁目、池上１丁目の一部、中央１～３、７～８丁目、４、６丁目の各一部、中馬込２～３丁目の各一部、東馬込１～２丁目、南馬込１～２丁目、３～４丁目の各一部、北馬込２丁目の一部,39,124572,4.11,2.9
大田区,45,昭和島野球場一帯,大田区昭和島,49179,40805,大田区,大森西５丁目の一部、大森中２～３丁目、１丁目の一部、大森東３～５丁目、１～２丁目の各一部、ふるさとの浜辺公園,10,20560,1.98,1.5
大田区,46,森ヶ崎公園,大田区大森南,36536,27825,大田区,大森南１～５丁目、北糀谷１～２丁目,7,16624,1.67,1.7
大田区,47,東京国際空港,大田区羽田空港,320662,264169,大田区,羽田１～６丁目、羽田旭町、東糀谷１～６丁目、萩中３丁目の一部,14,31155,8.48,1.9
大田区,48,萩中公園,大田区萩中、本羽田,175576,98786,大田区,仲六郷１～４丁目、萩中１～２丁目、３丁目の一部、東六郷１～３丁目、本羽田１～３丁目、南蒲田２～３丁目、南六郷１～３丁目、西糀谷１～４丁目、蒲田本町２丁目の一部,23,96151,1.03,2.9
大田区,49,蒲田電車区一帯,大田区蒲田本町、新蒲田、西六郷,157841,57146,大田区,蒲田１～３丁目、蒲田本町１丁目、２丁目の一部、新蒲田１丁目、西六郷１～４丁目、東蒲田１～２丁目、南蒲田１丁目、大森西７丁目の一部,14,49094,1.16,1.6
大田区,50,池上本門寺一帯,大田区池上,141385,62432,大田区,西馬込１～２丁目、池上２、４丁目、１、３、５～８丁目の各一部、中央５丁目、４、６丁目の各一部、中馬込１丁目、２～３丁目の各一部、仲池上２丁目の一部、南馬込５～６丁目、３～４丁目の各一部、北馬込１丁目、２丁目の一部,23,55679,1.12,2.2
大田区,52,多摩川河川敷・ガス橋一帯,大田区鵜の木、下丸子、多摩川、田園調布本町、田園調布南、矢口,372391,324512,大田区,池上３、５～８丁目の各一部、鵜の木１～３丁目、雪谷大塚町の一部、上池台３～５丁目、１～２丁目の各一部、北嶺町、久が原１～６丁目、下丸子１～４丁目、新蒲田２～３丁目、多摩川１～２丁目、千鳥１～３丁目、田園調布本町の一部、田園調布南、仲池上１丁目、２丁目の一部、西蒲田１～４、６丁目、２丁目の一部、西嶺町、東嶺町、東矢口１～３丁目、東雪谷３～５丁目、１～２丁目の各一部、南久が原１～２丁目、南雪谷３～５丁目、１～２丁目の各一部、矢口１～３丁目,62,222390,1.46,3.4
大田区,187,多摩川河川敷・田園調布先一帯,大田区田園調布／世田谷区上野毛、玉堤、野毛,434488,203719,大田区,雪谷大塚町の一部、田園調布１～５丁目、田園調布本町の一部、南雪谷２丁目の一部,8,91369,2.23,2.0
大田区,187,多摩川河川敷・田園調布先一帯,大田区田園調布／世田谷区上野毛、玉堤、野毛,※,※,世田谷区,奥沢１～８丁目、玉川田園調布１～２丁目、玉堤１～２丁目、上野毛２丁目、東玉川１～２丁目、等々力１～２、４～５丁目、尾山台１～３丁目、野毛２～３丁目、１丁目の一部,25,※,※,※
大田区,219,洗足池公園一帯,大田区南千束,100544,24852,大田区,石川町２丁目の一部、上池台１～２丁目の各一部、北千束３丁目の一部、東雪谷１～２丁目の各一部、南千束１～３丁目,9,15849,1.57,0.8
世田谷区,40,駒場東大・駒場野公園一帯,目黒区駒場、世田谷区北沢、渋谷区松濤,466330,254831,目黒区,駒場１～４丁目、青葉台１～４丁目、大橋１～２丁目,10,112704,2.26,1.7
世田谷区,40,駒場東大・駒場野公園一帯,目黒区駒場、世田谷区北沢、渋谷区松濤,※,※,渋谷区,円山町、松濤２丁目、上原２～３丁目、神泉町、富ケ谷２丁目,6,※,※,※
世田谷区,40,駒場東大・駒場野公園一帯,目黒区駒場、世田谷区北沢、渋谷区松濤,※,※,世田谷区,代沢１～５丁目、代田１～２、５～６丁目、大原１丁目、池尻４丁目、北沢１～５丁目,16,※,※,※
世田谷区,42,世田谷公園一帯,目黒区東山／世田谷区池尻,286870,172508,目黒区,五本木１～３丁目、上目黒３～５丁目、東山１～３丁目,9,44846,3.85,1.4
世田谷区,42,世田谷公園一帯,目黒区東山／世田谷区池尻,※,※,世田谷区,池尻１～３丁目,3,※,※,※
