区分,番号,施設名称,所在地,備考
陸上輸送基地,1,立川地域防災センター,立川市緑町３２３３の２外,都総務局
陸上輸送基地,2,京浜トラックターミナル,大田区平和島２－１－１,日本自動車ターミナル株式会社
陸上輸送基地,3,板橋トラックターミナル,板橋区高島平６－１－１,日本自動車ターミナル株式会社
陸上輸送基地,4,足立トラックターミナル,足立区入谷６－１－１,日本自動車ターミナル株式会社
陸上輸送基地,5,葛西トラックターミナル,江戸川区臨海町４－３－１,日本自動車ターミナル株式会社
海上輸送基地,1,大井食品ふ頭,大田区東海５・６丁目,都港湾局
海上輸送基地,2,芝浦ふ頭,港区海岸３丁目,都港湾局
海上輸送基地,3,辰巳ふ頭,江東区辰巳３丁目,都港湾局
海上輸送基地,4,１０号地その１多目的ふ頭,江東区有明３丁目,都港湾局
海上輸送基地,5,品川ふ頭,港区港南５丁目及び品川区東品川５丁目,都港湾局、東京港埠頭株式会社
海上輸送基地,6,大井コンテナふ頭,品川区八潮２丁目,東京港埠頭株式会社
海上輸送基地,7,晴海ふ頭,中央区晴海２・４・５丁目,都港湾局
海上輸送基地,8,竹芝ふ頭,港区海岸１丁目,都港湾局
海上輸送基地,9,１０号地ふ頭（フェリーふ頭含む）,江東区有明４丁目,都港湾局
海上輸送基地,10,青海コンテナふ頭,江東区青海２丁目,都港湾局、東京港埠頭株式会社
海上輸送基地,11,１５号地ふ頭,江東区若洲,都港湾局
海上輸送基地,12,日の出ふ頭,港区海岸２丁目,都港湾局
航空輸送基地,1,東京国際空港（羽田飛行場）,大田区羽田空港,東京航空局
航空輸送基地,2,東京都調布飛行場,調布市西町外,都港湾局
航空輸送基地,3,東京へリポート,江東区新木場４丁目,都港湾局
水町,※番号,施設名称,所在地
1,宝田橋,千代田区九段南１－２－１
40,千住,足立区千住曙町地先
41,堀切緊急用船着場,葛飾区堀切１－１２
42,柴又緊急用船着場,葛飾区柴又７－１９
43,東立石緑地公園船着場,葛飾区東立石４丁目地先
44,新小岩防災船着場,葛飾区西新小岩１－１番先
45,青戸六丁目広場付近護岸,葛飾区青戸６－４０番先
46,東京東部漁協荒天時避難繋船場,葛飾区奥戸７－２０番先
47,第五建築事務所上平井橋係留所,葛飾区東四つ木１－１番先
48,ミヨシ油脂（株）専用荷揚げ場,葛飾区堀切４－６６番先
49,上篠崎,江戸川区上篠崎２－２７番地先
50,葛西臨海公園,江戸川区臨海町６丁目地先
51,一之江橋,江戸川区新堀１－１番地先
52,東篠崎,江戸川区東篠崎２丁目地先
53,小松川,江戸川区小松川１丁目
54,新今井橋,江戸川区江戸川４丁目
55,平井,江戸川区平井６－７１番地先
56,なぎさ公園,江戸川区南葛西７－３番地先
57,今井交通公園,江戸川区江戸川４－９番先
58,スポーツランド,江戸川区東篠崎１－８番地先
59,ポニーランド,江戸川区篠崎３－２３番地先
60,船堀,江戸川区船堀１丁目地先
61,西葛西,江戸川区西葛西２丁目地先
62,篠崎公園,江戸川区上篠崎１－２５番地先
63,小岩菖蒲園,江戸川区北小岩４－３７番先
江古田２～４丁目、沼袋１～２、４丁目、野方４、６丁目,13,60327,1.36,1.5
練馬区,67,江古田の森公園一帯,中野区江古田,※,※,練馬区,豊玉中１～４丁目、豊玉南１～３丁目、豊玉北５～６丁目,9,※,※,※
練馬区,82,上井草スポーツセンター一帯,杉並区今川、上井草／練馬区下石神井,172920,72104,杉並区,今川１～４丁目、上井草１～４丁目、清水１～３丁目,11,36814,1.96,1.4
練馬区,82,上井草スポーツセンター一帯,杉並区今川、上井草／練馬区下石神井,※,※,練馬区,上石神井南町、関町南１丁目、下石神井４丁目の一部,3,※,※,※
練馬区,100,公社向原住宅一帯,板橋区小茂根、向原,150825,66167,豊島区,高松２～３丁目、千川１～２丁目、千早４丁目、長崎６丁目、要町２～３丁目,8,51104,1.29,1.7
練馬区,100,公社向原住宅一帯,板橋区小茂根、向原,※,※,板橋区,向原１～３丁目、小茂根１～２丁目、大谷口１～２丁目,7,※,※,※
練馬区,100,公社向原住宅一帯,板橋区小茂根、向原,※,※,練馬区,旭丘２丁目、小竹町１～２丁目,3,※,※,※
練馬区,101,城北中央公園一帯,板橋区小茂根、桜川、東新町／練馬区羽沢、氷川台,386275,252262,板橋区,桜川１～３丁目、小茂根３～５丁目、上板橋１～３丁目、常盤台１～４丁目、大山町、大谷口上町、大谷口北町、中板橋、仲町、東山町、東新町１～２丁目、南常盤台１～２丁目、弥生町,24,135434,1.86,2.2
練馬区,101,城北中央公園一帯,板橋区小茂根、桜川、東新町／練馬区羽沢、氷川台,※,※,練馬区,羽沢１～３丁目、錦１～２丁目、桜台１～３、６丁目、氷川台１～４丁目、平和台１～４丁目、北町１丁目,18,※,※,※
練馬区,102,光が丘団地・光が丘公園一帯,板橋区赤塚新町／練馬区旭町、光が丘,1737587,981271,板橋区,成増１～５丁目、赤塚１～８丁目、赤塚新町１～３丁目,16,245226,4.00,2.8
練馬区,102,光が丘団地・光が丘公園一帯,板橋区赤塚新町／練馬区旭町、光が丘,※,※,練馬区,旭町１～３丁目、光が丘１～７丁目、高松１～６丁目、三原台１～３丁目、春日町１～６丁目、早宮１～４丁目、谷原１～６丁目、田柄１～５丁目、土支田１～４丁目、北町２～８丁目,51,※,※,※
練馬区,103,石神井公園一帯,練馬区石神井台、石神井町,395557,169575,練馬区,下石神井１～３、５～６丁目、４丁目の一部、石神井台１～３丁目、石神井町２～８丁目、東大泉１、５～６丁目,19,62972,2.69,0.9
練馬区,104,上石神井アパート一帯,練馬区上石神井、石神井台、関町東,173763,75888,練馬区,関町東１～２丁目、上石神井１～４丁目、石神井台４～８丁目、東大泉７丁目、南大泉１～４丁目,16,66587,1.14,2.2
練馬区,105,大泉中央公園一帯,練馬区大泉学園町,282503,190291,練馬区,西大泉１～６丁目、西大泉町、大泉学園町１～９丁目、大泉町１～６丁目、東大泉２～４丁目、南大泉５～６丁目,27,95639,1.99,3.5
練馬区,120,グリーンパーク,武蔵野市吉祥寺北町、緑町、八幡町,580571,329291,練馬区,関町南２～４丁目、関町北１～５丁目、立野町,9,38327,8.59,2.1
練馬区,147,武蔵大学,練馬区豊玉上,77702,36940,練馬区,旭丘１丁目、栄町、豊玉上１～２丁目、豊玉北１～４丁目,8,30549,1.21,1.0
練馬区,148,豊島園,練馬区向山、春日町,232610,92497,練馬区,貫井１～５丁目、向山１～４丁目、中村１～３丁目、中村南１～３丁目、中村北１～４丁目,19,55781,1.66,1.9
練馬区,207,都営南田中アパート,練馬区石神井町、高野台、南田中,160763,72713,練馬区,高野台１～５丁目、石神井町１丁目、南田中１～５丁目、富士見台１～４丁目,15,41112,1.77,1.9
練馬区,208,練馬総合運動場一帯,練馬区練馬,106027,35484,練馬区,桜台４～５丁目、練馬１～４丁目,6,19743,1.80,0.8
足立区,106,舎人公園一帯,足立区入谷町、古千谷、皿沼、舎人町、舎人公園、西伊興町、西伊興,728123,487009,足立区,伊興４～５丁目、伊興本町１～２丁目、加賀２丁目の一部、古千谷１～２丁目、古千谷本町１～４丁目、皿沼１～３丁目、舎人１～３丁目、舎人公園、舎人町、西伊興１～４丁目、西伊興町、東伊興１～４丁目、入谷１、５～６丁目、入谷町,32,41392,11.77,1.7
足立区,109,東綾瀬団地一帯,足立区東綾瀬,183096,88598,足立区,綾瀬１～７丁目、加平１丁目、谷中１～２丁目、東綾瀬１～３丁目、東和１、３、５丁目,16,47827,1.85,1.4
足立区,110,荒川北岸・河川敷緑地一帯,足立区足立、梅田、扇、江北、鹿浜、関原、堀之内、本木、本木西、本木南,851199,517090,足立区,関原１～２丁目、興野１～２丁目、江北１～２丁目、鹿浜１～３丁目、５丁目の一部、西綾瀬１丁目、扇１～３丁目、足立１～４丁目、梅田１～７丁目、堀之内１～２丁目、本木１～２丁目、本木西町、本木東町、本木南町、本木北町,33,86482,5.98,1.6
足立区,111,荒川南岸・河川敷緑地一帯,足立区小台、千住、千住大川町、千住元町、千住桜木,424255,237742,足立区,小台１～２丁目、千住１～５丁目、千住宮元町、千住橋戸町、千住元町、千住桜木１～２丁目、千住寿町、千住大川町、千住中居町、千住柳町、千住龍田町、千住緑町１～３丁目,20,46540,5.11,1.9
足立区,131,江北六丁目団地一帯,足立区江北,165157,87200,足立区,江北６～７丁目、鹿浜４、７～
