実数・増減率,年次・四半期・月次コード,年次・四半期・月次,調査世帯数(世帯）,世帯人員（人）,有業人員（人）,世帯主平均年齢（歳）,実収入（円）,実収入／経常収入（円）,実収入／経常収入／勤め先収入（円）,実収入／経常収入／勤め先収入／世帯主の配偶者の収入（円）,実収入／経常収入／勤め先収入／他の世帯員収入（円）,実収入／経常収入／事業・内職収入（円）,実収入／経常収入／他の経常収入（円）,実収入／経常収入／他の経常収入／社会保障給付（円）,実収入／特別収入（円）,可処分所得（円）,消費支出（円）,消費支出／食料（円）,消費支出／住居（円）,消費支出／光熱・水道（円）,消費支出／家具・家事用品（円）,消費支出／被服及び履物（円）,消費支出／保健医療（円）,消費支出／交通・通信（円）,消費支出／教育（円）,消費支出／教養娯楽（円）,消費支出／その他の消費支出（円）
meimoku,nen,対前年（同期・同月）名目増加率_平成28年平均,-,-,-,-,-1.1,-3,-10.7,2.3,-17.6,-2.9,-2.1,-4.1,75.2,2.6,-9.2,0,-5.7,-13.2,-6.4,-9.7,-15.3,-22.1,-79.9,-13.4,-7.4
meimoku,nen,対前年（同期・同月）名目増加率_平成29年平均,-,-,-,-,-6.6,-4.7,-30,-34.3,-27.2,-15.5,-1.3,2.1,-48.3,-8.6,1.7,0.7,-5.2,1.9,-2.8,-6.3,10.8,14.5,-14.7,-0.3,1.4
meimoku,nen,対前年（同期・同月）名目増加率_平成30年平均,-,-,-,-,22,20.7,76.9,65.2,83.8,-40.9,19.8,18,75.2,24.9,4.8,2.8,8.5,5.4,14.4,-3.3,3.4,11.6,128.8,3.7,2.6
meimoku,nen,対前年（同期・同月）名目増加率_平成31年・令和元年平均,-,-,-,-,9.4,10.3,30.6,14,39.4,22.9,7.6,8.5,-15.4,9.3,0.5,-0.9,-9.9,-5.3,9.5,20.3,4.5,-3.9,69.9,7.2,-0.2
meimoku,sihan,対前年（同期・同月）名目増加率_令和元年 7～ 9月,-,-,-,-,12.3,11.9,29.5,-4.9,49.7,54.2,7.7,10.9,24.9,11.1,6.5,-1.6,34.8,-8.1,-1.3,22.8,24.1,36.9,-51.6,3.1,1.2
meimoku,sihan,対前年（同期・同月）名目増加率_令和元年10～12月,-,-,-,-,-2.5,-0.7,48.2,-10.8,97.8,45.1,-5.1,-3.2,-49.3,-1.1,-2,-0.7,-30.8,-2.9,35.1,25.1,6.6,-0.1,-97.6,12.7,-7
meimoku,sihan,対前年（同期・同月）名目増加率_令和 2年 1～ 3月,-,-,-,-,-3.3,-1.8,-2.7,-53.2,40.1,141.3,-6.8,-5.4,-32.3,-2.4,1.4,6.8,15.8,5.2,0.5,21,35,-7,-70.1,-11.9,-8.7
meimoku,sihan,対前年（同期・同月）名目増加率_令和 2年 4～ 6月,-,-,-,-,19.1,-2.1,-21.8,-23.5,-21.3,83.4,-1.8,-1.2,...,20.9,-7.3,3.6,21.9,11.6,32.1,-48.6,-8.6,21.6,-77.8,-33.4,-25.8
meimoku,sihan,対前年（同期・同月）名目増加率_令和 2年 7～ 9月,-,-,-,-,31.5,19.4,14.4,-7.1,22.4,130.1,15.2,11.6,354.3,39.4,-3.2,4,30.8,4.9,5.9,-43.1,34.8,-25.2,14.2,-19.1,-20
meimoku,tuki,対前年（同期・同月）名目増加率_令和元年 9月,-,-,-,-,12.7,2.5,60.3,37.9,73.7,31.8,-69.6,-58.7,142.6,-8.5,4.3,-1.5,-24.9,-4.1,42.4,0.4,51,25.5,-100,-4.2,8.8
meimoku,tuki,対前年（同期・同月）名目増加率_令和元年10月,-,-,-,-,-3.9,-3.8,57.9,-9.9,143,83.8,-7.5,-6.3,-12,-2.4,-10.7,-5.3,-56.5,-8.8,85.4,28.1,2.4,-14.8,-99.6,14.6,-21.1
meimoku,tuki,対前年（同期・同月）名目増加率_令和元年11月,-,-,-,-,-35.6,-13.3,76.3,38,102.5,12.4,-81.5,-82.7,-81.4,-39.7,-8.2,0.4,-63.8,-0.7,9.1,16.9,-4.5,-7.9,-92,16.1,-14.7
meimoku,tuki,対前年（同期・同月）名目増加率_令和元年12月,-,-,-,-,4.2,4.1,24.4,-39.9,68.3,59,2.1,2.6,8.2,5.9,11.2,2.2,30.6,0.9,18,33,21.4,23.6,-93.1,8.3,12.3
meimoku,tuki,対前年（同期・同月）名目増加率_令和 2年 1月,-,-,-,-,-30.4,-28.1,-6.1,-58.3,52.9,46,-61.8,-61.4,-44.8,-34.3,-0.3,-0.3,-63.8,4.1,34.2,40.1,50.7,-3.7,362.9,16.1,-5.3
meimoku,tuki,対前年（同期・同月）名目増加率_令和 2年 2月,-,-,-,-,3,3.2,19,-48.7,83.2,246.4,-0.5,-0.2,-15.5,6.2,5.7,13.1,97.4,3.8,-15.4,46.8,20.4,-18.5,-88.2,-9.9,-14.8
meimoku,tuki,対前年（同期・同月）名目増加率_令和 2年 3月,-,-,-,-,-19,-15.8,-18,-51.1,0.7,143,-69.3,-83.5,-30.4,-47.7,-1,8,41.8,7.7,-10.4,-14.4,34,9.2,-70.1,-35.7,-7.2
meimoku,tuki,対前年（同期・同月）名目増加率_令和 2年 4月,-,-,-,-,13.5,-5.6,-19,-28.9,-14.4,85.8,-6.2,-5.2,...,16.5,-16.7,-0.8,-30.5,11.4,11.4,-63.2,-2.3,-17.7,-54,-37.1,-35.5
meimoku,tuki,対前年（同期・同月）名目増加率_令和 2年 5月,-,-,-,-,1.3,-10,-25.4,-19.5,-27.8,80.3,-33,24.2,118.7,86.7,-16.8,2.3,-1.7,3.6,30.7,-48.7,-28.2,-41.8,-94.7,-30.5,-22.6
meimoku,tuki,対前年（同期・同月）名目増加率_令和 2年 6月,-,-,-,-,26.2,1.9,-21.4,-22.1,-21.3,84.3,3.4,2.5,...,23.7,12.1,9.6,85.1,21.4,47.5,-39.2,4.6,150,-40.5,-33,-19.6
meimoku,tuki,対前年（同期・同月）名目増加率_令和 2年 7月,-,-,-,-,206.7,78.6,16.3,7.2,19.1,100.3,206.7,60.1,...,...,0.7,5.2,50.6,5.7,16.8,-54.7,33.1,-49.5,...,-18.4,-3.1
meimoku,tuki,対前年（同期・同月）名目増加率_令和 2年 8月,-,-,-,-,14.2,11.8,37.1,7.7,47.1,117.7,8.5,9.1,150.8,14.4,-2.6,3.9,-18.9,8.4,30.7,-43.7,68.5,1.7,-91.2,-12.5,-23.7
meimoku,tuki,対前年（同期・同月）名目増加率_令和 2年 9月,-,-,-,-,26.3,41.4,-8,-25.6,0.3,191,179.7,199,-54.8,28.4,-8.2,2.9,72.2,0.5,-20.5,-25.2,2.4,-12.6,...,-26.1,-32.5
jissitu,nen,対前年（同期・同月）実質増加率_平成28年平均,-,-,-,-,-1,-2.9,-10.6,2.4,-17.5,-2.8,-2,-4,75.4,2.7,-9.1,-1.5,-5.1,-3.3,-6.4,-10.3,-16.1,-21.2,-80.1,-14.7,-
jissitu,nen,対前年（同期・同月）実質増加率_平成29年平均,-,-,-,-,-6.8,-4.9,-30.1,-34.4,-27.3,-15.7,-1.5,1.9,-48.4,-8.8,1.5,0.3,-5,0.5,-2.7,-6.8,10,15.1,-15,-0.8,-
jissitu,nen,対前年（同期・同月）実質増加率_平成30年平均,-,-,-,-,20.6,19.3,74.8,63.2,81.6,-41.6,18.4,16.6,73.1,23.4,3.6,1.3,8.5,1.2,15,-3.8,1.6,11,127.7,2.4,-
jissitu,nen,対前年（同期・同月）実質増加率_平成31年・令和元年平均,-,-,-,-,8.4,9.3,29.4,13,38.2,21.8,6.6,7.5,-16.2,8.3,-0.4,-1.6,-10.7,-8.3,6.7,18.9,3.6,-3.4,71.6,5.4,-
jissitu,sihan,対前年（同期・同月）実質増加率_令和元年 7～ 9月,-,-,-,-,11.5,11.1,28.6,-5.6,48.7,53.1,7,10.1,24,10.3,5.8,-2.2,34,-9.5,-4.2,21.9,23.7,38.3,-51.9,1.9,-
jissitu,sihan,対前年（同期・同月）実質増加率_令和元年10～12月,-,-,-,-,-3.4,-1.6,46.9,-11.6,96,43.8,-5.9,-4.1,-49.8,-2,-2.9,-2.6,-32.1,-2.3,31,22.3,5.5,-0.3,-97.4,10.1,-
jissitu,sihan,対前年（同期・同月）実質増加率_令和 2年 1～ 3月,-,-,-,-,-3.9,-2.4,-3.3,-53.5,39.3,139.9,-7.4,-6,-32.7,-3,0.8,5.3,13.9,7.8,-1.4,17.9,33.3,-7.8,-68.2,-13.2,-
jissitu,sihan,対前年（同期・同月）実質増加率_令和 2年 4～ 6月,-,-,-,-,18.7,-2.4,-22,-23.7,-21.5,82.9,-2.1,-1.5,-,20.5,-7.6,1.7,19.5,13.9,30.3,-49.6,-9.5,21.5,-75.6,-33.9,-
jissitu,sihan,対前年（同期・同月）実質増加率_令和 2年 7～ 9月,-,-,-,-,31,18.9,13.9,-7.5,21.9,129.2,14.7,11.2,352.5,38.8,-3.6,1.8,28.2,6.5,3.3,-44.5,33.6,-25.7,25.2,-18.3,-
jissitu,tuki,対前年（同期・同月）実質増加率_令和元年 9月,-,-,-,-,12.3,2.1,59.7,37.4,73,31.3,-69.7,-58.9,141.6,-8.9,3.9,-2.1,-25.4,-4.3,38,0.8,50.7,26.9,-100,-5.1,-
jissitu,tuki,対前年（同期・同月）実質増加率_令和元年10月,-,-,-,-,-4.4,-4.3,57.1,-10.3,141.8,82.9,-8,-6.8,-12.4,-2.9,-11.1,-6.3,-57.3,-7.9,79.3,26,1.4,-14.5,-99.6,12.1,-
jissitu,tuki,対前年（同期・同月）実質増加率_令和元年11月,-,-,-,-,-36.2,-14.1,74.7,36.8,100.7,11.4,-81.7,-82.9,-81.6,-40.2,-9,-1.7,-64.4,-0.3,6.1,14.5,-5.3,-8,-91.5,13.7,-
jissitu,tuki,対前年（同期・同月）実質増加率_令和元年12月,-,-,-,-,3,2.9,22.9,-40.6,66.3,57.1,0.9,1.4,6.9,4.6,9.9,-0.1,28.3,1.6,14.6,29,20.3,22.5,-92.7,5.4,-
jissitu,tuki,対前年（同期・同月）実質増加率_令和 2年 1月,-,-,-,-,-31,-28.7,-6.8,-58.6,51.7,44.8,-62.1,-61.7,-45.2,-34.8,-1.1,-1.7,-64.4,5.9,32,35.6,48.8,-4.9,393,13.9,-
jissitu,tuki,対前年（同期・同月）実質増加率_令和 2年 2月,-,-,-,-,2.5,2.7,18.4,-49,82.3,244.7,-1,-0.7,-15.9,5.7,5.2,11.6,93.9,6.8,-17.1,43.4,18.9,-19.3,-87.4,-10.7,-
jissitu,tuki,対前年（同期・同月）実質増加率_令和 2年 3月,-,-,-,-,-19.4,-16.2,-18.4,-51.3,0.2,141.8,-69.5,-83.6,-30.7,-48,-1.5,6.4,39.4,10.9,-11.9,-16,32.4,8.5,-68.2,-36.8,-
jissitu,tuki,対前年（同期・同月）実質増加率_令和 2年 4月,-,-,-,-,13.3,-5.8,-19.2,-29,-14.6,85.4,-6.4,-5.4,-,16.3,-16.9,-2.9,-31.7,14.3,10.5,-63.8,-3.2,-17.5,-49.9,-37.2,-
jissitu,tuki,対前年（同期・同月）実質増加率_令和 2年 5月,-,-,-,-,0.8,-10.4,-25.8,-19.9,-28.2,79.4,-33.3,23.6,117.6,85.8,-17.2,0.1,-3.7,5.6,28.5,-49.6,-28.8,-41.7,-94.2,-31.3,-
jissitu,tuki,対前年（同期・同月）実質増加率_令和 2年 6月,-,-,-,-,25.8,1.6,-21.6,-22.3,-21.5,83.7,3.1,2.2,-,23.3,11.8,8,81.6,23.1,45.3,-40.5,3.5,147.8,-33.7,-33.5,-
jissitu,tuki,対前年（同期・同月）実質増加率_令和 2年 7月,-,-,-,-,204.6,77.4,15.5,6.5,18.3,98.9,204.6,59,-,-,0,3.3,47.6,7.3,14.3,-55.8,31.7,-50,-,-20.1,-
jissitu,tuki,対前年（同期・同月）実質増加率_令和 2年 8月,-,-,-,-,13.9,11.5,36.7,7.4,46.7,117,8.2,8.8,150,14.1,-2.9,1,-20.5,9.9,27.6,-44.9,67,1,-90.3,-9.7,-
jissitu,tuki,対前年（同期・同月）実質増加率_令和 2年 9月,-,-,-,-,26,41.1,-8.2,-25.7,0.1,190.4,179.1,198.4,-54.9,28.1,-8.4,1,68.8,2.6,-22.5,-27.2,1.6,-13.4,-,-24.5,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都生計分析調査　令和 2年 9月,,,,,,,,,,,,,,,,,,,,,,,,,,,
主　　要　　指　　標　　　３　　―　無職世帯　―,,,,,,,,,,,,,,,,,,,,,,,,,,,
注1）平成30年1月に調査で使用する家計簿を改正し順次変更を行ったため、平成30年及び平成31年・令和元年の「対前年(同期 同月)増加率」の値には当該改正の影響による変動が含まれ得る。,,,,,,,,,,,,,,,,,,,,,,,,,,,
注2）平成30年12月までは農林漁家世帯を調査対象から除外していたが、平成31年1月からは含めている。,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyoutou0,hyoutou0,hyoutou0,hyoutou0,hyoutou0,hyoutou1,hyoutou2,hyoutou3,hyoutou3,hyoutou2,hyoutou2,hyoutou3,hyoutou1,hyoutou0,hyoutou0,hyoutou1,hyoutou1,hyoutou1,hyoutou1,hyoutou1,hyoutou1,hyoutou1,hyoutou1,hyoutou1,hyoutou1,,,
youto001,youto002,youto003,youto004,youto005,youto006,youto007,youto008,youto009,youto010,youto011,youto012,youto013,youto014,youto015,youto016,youto017,youto018,youto019,youto020,youto021,youto022,youto023,youto024,youto025,,,
