年次,件数,死傷者_総数,死傷者_死亡者_総数,死傷者_重傷者_総数,死傷者_軽傷者_総数,件数_信号無視,死傷者_総数_信号無視,死傷者_死亡者_信号無視,死傷者_重傷者_信号無視,死傷者_軽傷者_信号無視,件数_横断歩道外の横断,死傷者_総数_横断歩道外の横断,死傷者_死亡者_横断歩道外の横断,死傷者_重傷者_横断歩道外の横断,死傷者_軽傷者_横断歩道外の横断,件数_横断禁止場所の横断,死傷者_総数_横断禁止場所の横断,死傷者_死亡者_横断禁止場所の横断,死傷者_重傷者_横断禁止場所の横断,死傷者_軽傷者_横断禁止場所の横断,件数_その他横断違反,死傷者_総数_その他横断違反,死傷者_死亡者_その他横断違反,死傷者_重傷者_その他横断違反,死傷者_軽傷者_その他横断違反,件数_幼児のひとり歩き,死傷者_総数_幼児のひとり歩き,死傷者_死亡者_幼児のひとり歩き,死傷者_重傷者_幼児のひとり歩き,死傷者_軽傷者_幼児のひとり歩き,件数_路上遊戯,死傷者_総数_路上遊戯,死傷者_死亡者_路上遊戯,死傷者_重傷者_路上遊戯,死傷者_軽傷者_路上遊戯,件数_飛び出し,死傷者_総数_飛び出し,死傷者_死亡者_飛び出し,死傷者_重傷者_飛び出し,死傷者_軽傷者_飛び出し,件数_めいてい、徘徊,死傷者_総数_めいてい、徘徊,死傷者_死亡者_めいてい、徘徊,死傷者_重傷者_めいてい、徘徊,死傷者_軽傷者_めいてい、徘徊,件数_その他,死傷者_総数_その他,死傷者_死亡者_その他,死傷者_重傷者_その他,死傷者_軽傷者_その他,
1984,33,34,1,10,23,5,5,0,0,5,2,2,0,0,2,0,0,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,23,24,1,9,14,1,1,0,0,1,0,0,0,0,0,#N/A
1985,28,29,0,6,23,5,5,0,2,3,0,0,0,0,0,0,0,0,0,0,3,3,0,1,2,0,0,0,0,0,1,1,0,0,1,15,16,0,3,13,1,1,0,0,1,3,3,0,0,3,#N/A
1986,11,11,0,4,7,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,3,0,1,2,1,1,0,0,1,0,0,0,0,0,5,5,0,1,4,0,0,0,0,0,1,1,0,1,0,#N/A
1987,19,21,1,4,16,1,1,0,1,0,1,1,0,0,1,2,3,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,11,12,1,1,10,1,1,0,1,0,2,2,0,0,2,#N/A
1988,30,32,1,7,24,3,3,0,2,1,2,2,0,0,2,2,2,1,0,1,10,10,0,1,9,0,0,0,0,0,0,0,0,0,0,13,15,0,4,11,0,0,0,0,0,0,0,0,0,0,#N/A
1989,26,27,0,12,15,5,5,0,3,2,1,1,0,0,1,2,2,0,2,0,4,4,0,1,3,0,0,0,0,0,1,1,0,0,1,11,12,0,5,7,1,1,0,1,0,1,1,0,0,1,#N/A
1990,26,26,3,3,21,1,1,0,0,1,2,2,2,0,0,0,0,0,0,0,8,8,0,0,8,1,0,0,0,1,0,0,0,0,0,12,12,0,3,9,0,0,0,0,0,3,3,1,0,2,#N/A
1991,20,20,0,6,14,1,1,0,0,1,4,4,0,0,4,1,1,0,0,1,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,12,12,0,6,6,0,0,0,0,0,0,0,0,0,0,#N/A
1992,16,16,2,7,7,1,1,0,1,0,1,1,1,0,0,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,9,9,0,4,5,0,0,0,0,0,1,1,0,1,0,#N/A
1993,16,16,0,5,11,1,1,0,0,1,2,2,0,1,1,1,1,0,1,0,2,2,0,0,2,0,0,0,0,0,1,1,0,0,1,4,4,0,1,3,0,0,0,0,0,5,5,0,2,3,#N/A
1994,15,17,1,3,13,1,1,0,0,1,2,2,0,0,2,2,3,0,1,2,3,3,0,0,3,1,1,0,0,1,1,1,0,0,1,4,5,0,2,3,0,0,0,0,0,1,1,1,0,0,#N/A
1995,6,6,0,1,5,3,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,#N/A
1996,8,10,1,5,4,3,3,1,1,1,0,0,0,0,0,2,4,0,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,#N/A
1997,2,2,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,#N/A
1998,3,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,#N/A
1999,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,#N/A
2000,15,16,0,4,12,5,6,0,2,4,1,1,0,1,0,2,2,0,1,1,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,0,0,0,0,0,1,1,0,0,1,#N/A
2001,9,9,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,1,2,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,1,1,0,0,1,#N/A
2002,7,7,0,2,5,3,3,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,2,0,1,1,#N/A
2003,9,9,2,1,6,3,3,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,#N/A
2004,13,13,0,3,10,3,3,0,2,1,1,1,0,1,0,2,2,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,0,0,0,0,0,2,2,0,0,2,#N/A
2005,15,16,1,0,15,4,4,1,0,3,2,3,0,0,3,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,7,7,0,0,7,0,0,0,0,0,0,0,0,0,0,#N/A
2006,6,6,1,0,5,2,2,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,1,1,0,0,1,#N/A
2007,42,46,1,1,44,6,6,0,0,6,2,2,0,0,2,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,17,17,0,0,17,2,2,1,1,0,13,17,0,0,17,#N/A
2008,10,11,1,0,10,2,2,0,0,2,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,4,0,0,0,0,0,1,3,1,0,2,#N/A
2009,42,44,1,2,41,7,7,1,1,5,3,3,0,0,3,1,1,0,1,0,2,2,0,0,2,2,2,0,0,2,0,0,0,0,0,22,23,0,0,23,0,0,0,0,0,5,6,0,0,6,#N/A
2010,45,48,2,0,46,4,5,0,0,5,5,5,0,0,5,1,1,0,0,1,7,7,0,0,7,1,1,0,0,1,1,2,0,0,2,19,20,0,0,20,0,0,0,0,0,7,7,2,0,5,#N/A
2011,36,40,2,1,37,5,5,0,0,5,8,9,1,0,8,0,0,0,0,0,2,2,0,0,2,1,1,0,0,1,0,0,0,0,0,14,15,0,1,14,1,1,1,0,0,5,7,0,0,7,#N/A
2012,30,31,1,1,29,2,2,1,0,1,3,4,0,1,3,1,1,0,0,1,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,17,17,0,0,17,0,0,0,0,0,5,5,0,0,5,#N/A
2013,21,21,1,1,19,2,2,0,0,2,7,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,9,1,1,0,1,0,2,2,1,0,1,#N/A
2014,22,22,0,1,21,2,2,0,0,2,6,6,0,0,6,2,2,0,0,2,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,8,8,0,0,8,0,0,0,0,0,2,2,0,0,2,#N/A
2015,17,17,0,0,17,0,0,0,0,0,4,4,0,0,4,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8,8,0,0,8,2,2,0,0,2,2,2,0,0,2,#N/A
2016,15,18,1,0,17,0,0,0,0,0,6,7,0,0,7,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,1,0,5,0,0,0,0,0,3,4,0,0,4,#N/A
2017,7,7,1,0,6,1,1,0,0,1,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,1,1,1,0,0,#N/A
2018,6,6,1,0,5,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,1,1,0,0,1,1,1,1,0,0,#N/A
2019,3,3,0,0,3,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,#N/A
2020,6,7,0,0,7,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,4,0,0,0,0,0,1,1,0,0,1,#N/A
2021,12,12,3,1,8,2,2,0,0,2,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,2,0,0,2,1,1,1,0,0,4,4,1,0,3,#N/A
2022,12,12,0,2,10,2,2,0,0,2,5,5,0,1,4,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,1,1,0,1,0,#N/A
2023,10,10,2,1,7,1,1,0,1,0,2,2,0,0,2,0,0,0,0,0,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,1,0,0,0,0,0,#N/A
