年月,西暦（年）,月,1101まぐろ(100g)/円,1102あじ(100g)/円,1103いわし(100g)/円,1104かつお(100g)/円,1105かれい(100g)/円,1106さけ(100g)/円,1107さば(100g)/円,1108さんま(100g)/円,1110たい(100g)/円,1111ぶり(100g)/円,1112いか(100g)/円,1113たこ(100g)/円,1114えび(輸入品)(100g)/円,1131あさり(100g)/円,1132かき(貝)(100g)/円,1133ほたて貝(100g)/円,1201牛肉(ロース)(100g)/円,1203牛肉(輸入品)(100g)/円,1211豚肉(ロース)(100g)/円,1212豚肉(もも肉)(100g)/円,1221鶏肉(100g)/円,1241レバー(100g)/円,1401キャベツ(1kg)/円,1402ほうれんそう(1kg)/円,1403はくさい(1kg)/円,1405ねぎ(1kg)/円,1406レタス(1kg)/円,1407もやし(100g)/円,1409ブロッコリー(1kg)/円,1410アスパラガス(100g)/円,1411さつまいも(1kg)/円,1412じゃがいも(1kg)/円,1413さといも(1kg)/円,1414だいこん(1kg)/円,1415にんじん(1kg)/円,1416ごぼう(1kg)/円,1417たまねぎ(1kg)/円,1419れんこん(1kg)/円,1420ながいも(1kg)/円,1421しょうが(100g)/円,1430えだまめ(100g)/円,1432さやいんげん(100g)/円,1433かぼちゃ(1kg)/円,1434きゅうり(1kg)/円,1435なす(1kg)/円,1436トマト(1kg)/円,1437ピーマン(100g)/円,1438生しいたけ(100g)/円,1442えのきだけ(100g)/円,1443しめじ(100g)/円,1501りんご(つがる)(1kg)/円,1502りんご(ふじ)(1kg)/円,1511みかん(1kg)/円,1513レモン(1kg)/円,1514グレープフルーツ(1kg)/円,1515オレンジ(輸入品)(1kg)/円,1516いよかん(1kg)/円,1521なし(1kg)/円,1531ぶどう(デラウェア)(1kg)/円,1532ぶどう(巨峰)(1kg)/円,1541かき(果物)(1kg)/円,1551もも(1kg)/円,1561すいか(1kg)/円,1563メロン(1kg)/円,1571いちご(100g)/円,1572さくらんぼ(100g)/円,1581バナナ(1kg)/円,1582キウイフルーツ(1kg)/円,9181切り花(カーネーション)(1本)/円,9182切り花(きく)(1本)/円,9183切り花(バラ)(1本)/円
平成23年３月,2011,3,396,122,111,260,188,225,137,70,579,241,88,248,233,119,273,208,803,211,236,171,133,123,206,595,186,568,435,17,504,140,483,353,648,157,344,785,313,856,683,125,...,235,437,526,706,620,104,169,53,83,...,447,702,532,301,384,469,...,...,...,...,...,...,...,137,...,225,825,174,206,303
平成23年４月,2011,4,414,98,100,261,158,236,127,73,558,226,101,245,237,112,...,200,808,210,236,174,134,126,195,685,217,471,348,18,628,171,483,403,657,147,488,870,313,815,681,130,...,201,384,397,557,626,79,167,48,77,...,438,...,492,296,378,...,...,...,...,...,...,...,...,116,...,227,792,174,200,300
平成23年４月上旬,2011,4上,409,95,97,253,170,...,115,75,567,235,113,...,...,...,...,...,...,...,...,...,...,...,202,706,225,490,405,...,650,168,...,...,...,142,...,...,317,819,...,...,...,206,398,412,552,632,84,...,...,...,...,438,...,...,...,...,...,...,...,...,...,...,...,...,119,...,227,...,175,197,309
平成23年４月中旬,2011,4中,415,91,98,272,154,236,127,74,546,216,99,245,237,112,...,200,808,210,236,174,134,126,202,712,230,448,343,18,618,165,483,403,657,154,488,870,312,813,681,130,...,196,379,393,565,636,78,167,48,77,...,441,...,492,296,378,...,...,...,...,...,...,...,...,114,...,228,792,173,202,295
平成23年４月下旬,2011,4下,419,108,104,259,151,...,141,71,563,227,90,...,...,...,...,...,...,...,...,...,...,...,182,635,197,474,295,...,616,179,...,...,...,144,...,...,311,813,...,...,...,201,374,385,552,611,74,...,...,...,...,437,...,...,...,...,...,...,...,...,...,...,...,...,113,...,227,...,173,200,295
平成23年５月上旬,2011,5上,407,92,101,244,189,...,113,74,520,229,113,...,...,...,...,...,...,...,...,...,...,...,140,545,144,481,275,...,600,184,...,...,...,125,...,...,280,832,...,...,...,186,370,378,543,552,69,...,...,...,...,438,...,...,...,...,...,...,...,...,...,...,415,715,120,...,219,...,218,203,313
平成23年５月中旬,2011,5中,407,88,112,210,162,237,109,71,557,222,112,254,245,111,...,216,790,221,239,174,133,124,123,543,144,517,296,18,586,181,454,421,643,116,418,848,278,840,650,128,...,181,406,365,536,527,65,164,47,76,...,471,...,519,280,370,...,...,...,...,...,...,383,682,122,...,220,710,170,200,301
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H23.3,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
費目名等,,,【食料（生鮮品目）】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／平成23年5月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
９．主要品目の東京都区部小売価格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
