年度平均,Average of fiscal year,大気汚染物質, Air pollutants,都平均 Average of Tokyo-to,区部平均 Average of All ku,一般環境大気測定局 Ambient air quality monitoring stations ／千代田区 神田司町 Kandatsukasa-machi， Chiyoda-ku,一般環境大気測定局 Ambient air quality monitoring stations／港区 台場 Daiba， Minato-ku ,一般環境大気測定局 Ambient air quality monitoring stations／国設東京(新宿区内藤町)  Naito-machi， Shinjuku-ku,一般環境大気測定局 Ambient air quality monitoring stations／文京区 本駒込 Honkomagome， Bunkyo-ku ,一般環境大気測定局 Ambient air quality monitoring stations／江東区 大島 Ojima， Koto-ku ,一般環境大気測定局 Ambient air quality monitoring stations／品川区 豊町 Yutaka-cho， Shinagawa-ku ,一般環境大気測定局 Ambient air quality monitoring stations／大田区 東糀谷 Higashikojiya， Ota-ku ,一般環境大気測定局 Ambient air quality monitoring stations／世田谷区 世田谷 Setagaya， Setagaya-ku ,一般環境大気測定局 Ambient air quality monitoring stations／中野区 若宮 Wakamiya， Nakano-ku ,一般環境大気測定局 Ambient air quality monitoring stations／杉並区 久我山 Kugayama， Suginami-ku ,一般環境大気測定局 Ambient air quality monitoring stations／荒川区 南千住 Minamisenju， Arakawa-ku ,一般環境大気測定局 Ambient air quality monitoring stations／板橋区 本町 Hon-cho， Itabashi-ku,一般環境大気測定局 Ambient air quality monitoring stations／練馬区 石神井町 Shakujii-machi， Nerima-ku ,一般環境大気測定局 Ambient air quality monitoring stations／足立区 西新井 Nishiarai， Adachi-ku ,一般環境大気測定局 Ambient air quality monitoring stations／江戸川区 鹿骨 Shishibone， Edogawa-ku ,市・ 郡部平均 Average of All shi & gun,一般環境大気測定局 Ambient air quality monitoring stations／八王子市 片倉 Katakura Hachioji-shi ,一般環境大気測定局 Ambient air quality monitoring stations／立川市 泉町 Izumi-cho， Tachikawa-shi ,一般環境大気測定局 Ambient air quality monitoring stations／青梅市 東青梅 Higashiome， Ome-shi ,一般環境大気測定局 Ambient air quality monitoring stations／町田市 金森 Kanamori， Machida-shi ,一般環境大気測定局 Ambient air quality monitoring stations／東大和市 奈良橋 Narahashi， Higashiyamato-shi ,一般環境大気測定局 Ambient air quality monitoring stations／清瀬市 上清戸 Kamikiyoto， Kiyose-shi ,一般環境大気測定局 Ambient air quality monitoring stations／多摩市 愛宕 Atago， Tama-shi 
平成22,2010,1) オキシダント(ppm),1) Oxidant， Ox (ppm),0.032,0.03,0.026,0.025,0.027,0.023,0.028,0.032,0.026,0.034,0.035,0.033,0.032,0.029,0.032,0.03,0.031,0.035,0.03,0.034,0.036,0.036,0.035,0.035,0.034
平成23,2011,1) オキシダント(ppm),1) Oxidant， Ox (ppm),0.028,0.026,0.023,0.02,0.024,0.021,0.024,0.027,0.023,0.029,0.029,0.03,0.028,0.027,0.029,0.026,0.027,0.03,0.026,0.029,0.031,0.031,0.031,0.029,0.03
平成24,2012,1) オキシダント(ppm),1) Oxidant， Ox (ppm),0.03,0.028,0.025,0.022,0.026,0.023,0.027,0.03,0.025,0.031,0.032,0.031,0.03,0.029,0.031,0.029,0.028,0.032,0.029,0.032,0.034,0.033,0.033,0.032,0.032
平成25,2013,1) オキシダント(ppm),1) Oxidant， Ox (ppm),0.032,0.03,0.026,0.024,0.028,0.024,0.028,0.033,0.028,0.034,0.034,0.034,0.029,0.03,0.033,0.03,0.03,0.034,0.031,0.033,0.035,0.036,0.035,0.033,0.034
平成26,2014,1) オキシダント(ppm),1) Oxidant， Ox (ppm),0.032,0.03,0.027,0.024,0.028,0.025,0.028,0.031,0.027,0.033,0.033,0.033,0.03,0.031,0.032,0.031,0.03,0.034,0.031,0.033,0.036,0.035,0.035,0.033,0.033
平成22,2010,二酸化硫黄 (ppm),Sulfur dioxide， SO2 (ppm),0.002,0.002,0.002,0.003,0.001,…,…,…,0.003,0.002,0.002,…,0.002,…,…,0.003,0.002,0.001,0,…,0.001,0.001,…,0.001,0.001
平成23,2011,二酸化硫黄 (ppm),Sulfur dioxide， SO2 (ppm),0.002,0.002,0.002,0.003,0.001,…,…,…,0.003,0.001,0.002,…,0.002,…,…,0.002,0.002,0.001,0,…,0.001,0.002,…,0.001,0.001
平成24,2012,二酸化硫黄 (ppm),Sulfur dioxide， SO2 (ppm),0.002,0.002,0.002,0.003,0.001,…,…,…,0.003,0.002,0.001,…,0.002,…,…,0.002,0.002,0.001,0.001,…,0.001,0.001,…,0.001,0.001
平成25,2013,二酸化硫黄 (ppm),Sulfur dioxide， SO2 (ppm),0.002,0.002,0.002,0.003,0.001,…,…,…,0.003,0.002,0.001,…,0.002,…,…,0.002,0.002,0.001,0.001,…,0.001,0.002,…,0.001,0.001
平成26,2014,二酸化硫黄 (ppm),Sulfur dioxide， SO2 (ppm),0.002,0.002,0.002,0.003,0.001,…,…,…,0.003,0.002,0.001,…,0.002,…,…,0.002,0.002,0.001,0.002,…,0.001,0.002,…,0.001,0.001
平成22,2010,微小粒子状物質 (μｇ／m3),Particulate matter， PM2.5 (μｇ／m3),…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
平成23,2011,微小粒子状物質 (μｇ／m3),Particulate matter， PM2.5 (μｇ／m3),15.7,16.7,17.9,…,…,…,17.3,16.3,…,15.3,…,…,17.7,…,…,…,16.3,14.3,…,…,…,14.3,15.8,…,14.4
平成24,2012,微小粒子状物質 (μｇ／m3),Particulate matter， PM2.5 (μｇ／m3),14.2,14.9,14.5,14.1,…,…,15.2,17.4,15.9,14,13.9,15,15.5,14.9,14.2,16,14.2,13.3,12.3,12.2,11.5,13.2,14.2,15.1,12.7
平成25,2013,微小粒子状物質 (μｇ／m3),Particulate matter， PM2.5 (μｇ／m3),15.8,16.5,17.9,15.6,…,16.7,16.9,17.8,16.9,16.3,14.4,16,15.9,16,15.7,17.2,17.5,14.7,13.1,14.1,13,15.1,15.5,16.2,13.9
平成26,2014,微小粒子状物質 (μｇ／m3),Particulate matter， PM2.5 (μｇ／m3),16,16.9,18.6,16,…,16.9,17.2,17.1,17.5,17.4,14.7,16.3,16.8,17.4,15.7,16.1,16.6,14.8,12.8,14.4,13.3,15.7,15.2,17,14.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-14 大気汚染物質測定平均値（平成22～26年度） 19-14 AIR POLLUTANT MEASUREMENT AVERAGES ( Fiscal Years 2010-2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,
注.1)  オキシダントの測定時間は5時～20時である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2) 「町田市金森局」の測定値は平成23年度までは「町田市中町局」の測定値である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note. 1) Ox measurements are from 5:00 a.m. to 8:00 p.m. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2) Of figures for Machidashi Kanamori station， those for FY2011 and earlier were collected at Machidashi Nakamachi station. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都環境局環境改善部大気保全課「大気汚染常時測定局測定結果報告」  Source: Bureau of Environment， TMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
