実数・増加率,年次・四半期・月次コード,年次・四半期・月次,西暦（年）,月,調査世帯数（世帯）,世帯人員（人）,有業人員（人）,世帯主平均年齢（歳）,生計支出（円）,生計支出／消費支出（円）,生計支出／消費支出／食料（円）,生計支出／消費支出／住居（円）,生計支出／消費支出／光熱・水道（円）,生計支出／消費支出／家具・家事用品（円）,生計支出／消費支出／被服及び履物（円）,生計支出／消費支出／保健医療（円）,生計支出／消費支出／交通・通信（円）,生計支出／消費支出／教育（円）,生計支出／消費支出／教養娯楽（円）,生計支出／消費支出／その他の消費支出（円）,生計支出／消費支出／その他の消費支出／諸雑費（円）,生計支出／土地家屋購入（円）
meimoku,tuki,対前年（同期・同月）名目増加率_平成28年3月,2016,3,-,-,-,-,-9.4,-2.8,0.5,-3.2,-17.2,-1,-20.9,-11.1,-7.6,24.7,-1.9,1.2,2.3,-100
meimoku,tuki,対前年（同期・同月）名目増加率_平成28年4月,2016,4,-,-,-,-,-8.9,-3.8,3.1,-2.4,-15.4,-6.9,-13.1,11.4,28.2,-17.7,-6.8,-10.6,-33.5,-100
meimoku,tuki,対前年（同期・同月）名目増加率_平成28年5月,2016,5,-,-,-,-,-8.8,-8.8,3.3,13.8,-14.2,-5.6,3,-1.1,-33.4,-24.6,-4,-14.5,-12.1,-
meimoku,tuki,対前年（同期・同月）名目増加率_平成28年6月,2016,6,-,-,-,-,-5.7,-6.3,-0.1,-12.8,-12.5,-13.3,-6,-3.3,-18.4,-7.6,-2.5,-3.7,-1.2,...
meimoku,tuki,対前年（同期・同月）名目増加率_平成28年7月,2016,7,-,-,-,-,3.8,0.9,0.2,18.8,-12.2,18.1,-4.3,-7.3,4.2,13.5,-8.1,0.9,2.4,...
meimoku,tuki,対前年（同期・同月）名目増加率_平成28年8月,2016,8,-,-,-,-,-1.1,-1.1,-0.7,-19.8,-13.5,-7.6,-1.5,12.4,8.3,31.5,-8.1,4.4,20.4,-
meimoku,tuki,対前年（同期・同月）名目増加率_平成28年9月,2016,9,-,-,-,-,1.2,1.2,0,-7.7,-8.4,25.7,-11.6,5.6,-9.9,22,-1.1,8.4,15.9,-
meimoku,tuki,対前年（同期・同月）名目増加率_平成28年10月,2016,10,-,-,-,-,8.1,8.1,1.7,30.3,-1,-12,4,0,58.2,-6.6,-4.3,5.8,18.8,-
jissitu,nen,対前年（同期・同月）実質増加率_平成24年平均,2012,,-,-,-,-,-,2.9,2,8.8,2.5,9.9,6.1,0.6,5.3,-3.1,2.4,-,7.5,-
jissitu,nen,対前年（同期・同月）実質増加率_平成25年平均,2013,,-,-,-,-,-,3.4,2.1,16.1,-3.5,4.1,3.8,1.3,6.6,-9.3,5.3,-,5.9,-
jissitu,nen,対前年（同期・同月）実質増加率_平成26年平均,2014,,-,-,-,-,-,-5.6,-2.2,-14.3,-4.1,2.4,-2.1,-2.9,-5,-14.6,-3.2,-,-6.9,-
jissitu,nen,対前年（同期・同月）実質増加率_平成27年平均,2015,,-,-,-,-,-,-0.1,0.6,-1.4,0.2,-6.8,-1,-1.8,-3,22.6,-3.7,-,-2.8,-
jissitu,sihan,対前年（同期・同月）実質増加率_平成27年7～9月,2015,7～9,-,-,-,-,-,-5.2,0.9,13.4,1.5,-3.5,0.6,-4.8,-27.1,11.1,-3.8,-,-11.8,-
jissitu,sihan,対前年（同期・同月）実質増加率_平成27年10～12月,2015,10～12,-,-,-,-,-,-3.2,-2.4,-5.1,-11.2,3.3,-1.5,-2.2,-3.9,15.4,-6.5,-,-8.6,-
jissitu,sihan,対前年（同期・同月）実質増加率_平成28年1～3月,2016,1～3,-,-,-,-,-,-4.9,0.9,-3.4,-8.4,-3.5,-11,-5.4,-25.1,36.7,-2.9,-,2.8,-
jissitu,sihan,対前年（同期・同月）実質増加率_平成28年4～6月,2016,4～6,-,-,-,-,-,-5.7,1.4,-1.6,-1.8,-9.4,-6.2,1.5,-10.2,-18.8,-6.4,-,-17.7,-
jissitu,sihan,対前年（同期・同月）実質増加率_平成28年7～9月,2016,7～9,-,-,-,-,-,0.8,-0.8,-3.4,-2.1,12.9,-7.6,2.5,2.1,20.8,-6.8,-,11.4,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成27年10月,2015,10,-,-,-,-,-,-1,-1.7,-22.1,-8.4,13.8,7.5,-9.8,-6.5,3.8,-3.3,-,-1.6,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成27年11月,2015,11,-,-,-,-,-,2.7,-3,22.7,-9,11.1,-6.5,1.7,20.3,33.9,5.9,-,-3.1,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成27年12月,2015,12,-,-,-,-,-,-10,-2.4,-8.8,-15.4,-9.8,-4.7,2,-21.4,18.1,-19.1,-,-19.4,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成28年1月,2016,1,-,-,-,-,-,-8.9,1.2,-7.6,-10.1,19.8,2.3,-4.1,-34.6,1.7,-0.1,-,-6.2,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成28年2月,2016,2,-,-,-,-,-,-2.7,3.6,0.4,-8.8,-24.3,-12.5,2.5,-30,89.6,-5.1,-,17.5,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成28年3月,2016,3,-,-,-,-,-,-2.9,-1.8,-2.8,-5.9,-2,-22,-12.2,-6.7,23.2,-3.5,-,1.4,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成28年4月,2016,4,-,-,-,-,-,-3.4,2.3,-1.8,-2.8,-8.8,-14.4,10,29.6,-18.4,-8.6,-,-34,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成28年5月,2016,5,-,-,-,-,-,-8.2,2.7,14.4,-1.7,-6.2,2.3,-2,-32.5,-25.2,-6.2,-,-12.8,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成28年6月,2016,6,-,-,-,-,-,-5.9,-0.9,-12.3,-0.6,-13.4,-6.9,-4.3,-17.3,-8.3,-4.6,-,-1.9,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成28年7月,2016,7,-,-,-,-,-,1.4,-0.6,19.8,-1.9,20.1,-6.3,-8.2,5.8,12.6,-9.3,-,1.7,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成28年8月,2016,8,-,-,-,-,-,-0.6,-1.2,-19.2,-4.2,-5.8,-3.8,11.5,9.8,30.5,-8.9,-,19.2,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成28年9月,2016,9,-,-,-,-,-,1.7,-0.5,-7,0,27.9,-11.9,4.8,-8.4,21,-1.7,-,15,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成28年10月,2016,10,-,-,-,-,-,7.8,-0.7,31,7.6,-11.4,4.2,-0.9,60.3,-7.3,-6,-,17.9,-
,,,,,,,,,,,,,,,,,,,,,,
東京都生計分析調査　平成28年10月,,,,,,,,,,,,,,,,,,,,,,
主要指標１　―全世帯―,,,,,,,,,,,,,,,,,,,,,,
