,時間,1（μｇ/m3）,2（μｇ/m3）,3（μｇ/m3）,4（μｇ/m3）,5（μｇ/m3）,6（μｇ/m3）,7（μｇ/m3）,8（μｇ/m3）,9（μｇ/m3）,10（μｇ/m3）,11（μｇ/m3）,12（μｇ/m3）,13（μｇ/m3）,14（μｇ/m3）,15（μｇ/m3）,16（μｇ/m3）,17（μｇ/m3）,18（μｇ/m3）,19（μｇ/m3）,20（μｇ/m3）,21（μｇ/m3）,22（μｇ/m3）,23（μｇ/m3）,24（μｇ/m3）
"1,1－ジクロロエタン（1,1-Dichloroethane）",9月,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"1,1－ジクロロエタン（1,1-Dichloroethane）",10月,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01
"1,1－ジクロロエタン（1,1-Dichloroethane）",11月,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"1,1－ジクロロエタン（1,1-Dichloroethane）",12月,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"1,1－ジクロロエタン（1,1-Dichloroethane）",1月,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"1,1－ジクロロエタン（1,1-Dichloroethane）",2月,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"1,1－ジクロロエタン（1,1-Dichloroethane）",3月,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"1,1－ジクロロエタン（1,1-Dichloroethane）",平均,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01
,時間,1（μｇ/m3）,2（μｇ/m3）,3（μｇ/m3）,4（μｇ/m3）,5（μｇ/m3）,6（μｇ/m3）,7（μｇ/m3）,8（μｇ/m3）,9（μｇ/m3）,10（μｇ/m3）,11（μｇ/m3）,12（μｇ/m3）,13（μｇ/m3）,14（μｇ/m3）,15（μｇ/m3）,16（μｇ/m3）,17（μｇ/m3）,18（μｇ/m3）,19（μｇ/m3）,20（μｇ/m3）,21（μｇ/m3）,22（μｇ/m3）,23（μｇ/m3）,24（μｇ/m3）
四塩化炭素（Carbon Tetrachloride）,4月,0.51,0.5,0.5,0.5,0.5,0.51,0.51,0.53,0.51,0.52,0.53,0.52,0.52,0.51,0.51,0.51,0.53,0.52,0.51,0.51,0.5,0.51,0.51,0.51
四塩化炭素（Carbon Tetrachloride）,5月,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.43,0.44,0.44,0.43,0.43,0.44,0.44,0.44,0.5,0.47,0.46,0.45,0.46,0.44,0.44,0.43,0.44
四塩化炭素（Carbon Tetrachloride）,6月,0.43,0.43,0.43,0.42,0.43,0.42,0.44,0.44,0.44,0.42,0.42,0.43,0.43,0.43,0.45,0.45,0.43,0.44,0.45,0.45,0.43,0.41,0.44,0.43
四塩化炭素（Carbon Tetrachloride）,7月,0.43,0.45,0.43,0.43,0.45,0.43,0.43,0.42,0.42,0.42,0.44,0.42,0.45,0.44,0.45,0.45,0.45,0.54,0.47,0.48,0.46,0.46,0.44,0.43
四塩化炭素（Carbon Tetrachloride）,8月,0.43,0.44,0.41,0.41,0.4,0.4,0.39,0.39,0.39,0.4,0.41,0.4,0.41,0.4,0.42,0.43,0.44,0.43,0.43,0.43,0.44,0.42,0.42,0.42
四塩化炭素（Carbon Tetrachloride）,9月,0.41,0.41,0.41,0.42,0.42,0.42,0.42,0.43,0.43,0.43,0.43,0.43,0.43,0.42,0.42,0.43,0.43,0.44,0.43,0.43,0.42,0.42,0.43,0.42
四塩化炭素（Carbon Tetrachloride）,10月,0.43,0.43,0.43,0.43,0.42,0.43,0.42,0.43,0.43,0.43,0.43,0.43,0.43,0.44,0.44,0.45,0.43,0.43,0.43,0.44,0.44,0.43,0.44,0.44
四塩化炭素（Carbon Tetrachloride）,11月,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.38,0.39,0.39,0.39,0.39,0.39,0.39,0.38,0.39,0.39,0.38,0.39,0.39,0.39
四塩化炭素（Carbon Tetrachloride）,12月,0.36,0.36,0.36,0.35,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.36,0.36,0.37,0.36,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.36
四塩化炭素（Carbon Tetrachloride）,1月,0.37,0.37,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.38,0.38,0.38,0.38,0.37,0.37,0.38,0.38,0.38,0.38
四塩化炭素（Carbon Tetrachloride）,2月,0.45,0.45,0.45,0.43,0.44,0.44,0.45,0.44,0.44,0.45,0.44,0.44,0.45,0.45,0.46,0.47,0.47,0.48,0.47,0.45,0.44,0.44,0.45,0.45
四塩化炭素（Carbon Tetrachloride）,3月,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.36,0.35,0.35,0.35,0.35,0.35,0.36,0.35,0.36,0.36,0.35,0.35
四塩化炭素（Carbon Tetrachloride）,平均,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.42,0.41,0.42,0.42,0.42,0.43,0.43,0.43,0.4,0.43,0.42,0.42,0.42,0.42
