地域階層,地域コード,項番 Item number,地域,District,マーク Mark,計 Total／数 Number,計 Total／面積 Area,都市公園 Urban parks／都立公園 Tokyo metropolitan parks／数 Number,都市公園 Urban parks／都立公園 Tokyo metropolitan parks／面積 Area,都市公園 Urban parks／区市町村立公園 Municipal parks／数 Number,都市公園 Urban parks／区市町村立公園 Municipal parks／面積 Area,都市公園 Urban parks／国営公園 National government parks／数 Number,都市公園 Urban parks／国営公園 National government parks／面積 Area,都市公園以外の都区市町村立公園 Parks other than urban parks／自然ふれあい公園 Nature parks／数 Number,都市公園以外の都区市町村立公園 Parks other than urban parks／自然ふれあい公園 Nature parks／面積 Area,都市公園以外の都区市町村立公園 Parks other than urban parks／海上公園 Marine Parks／数 Number,都市公園以外の都区市町村立公園 Parks other than urban parks／海上公園 Marine Parks／面積 Area,都市公園以外の都区市町村立公園 Parks other than urban parks／区市町村立公園 Municipal parks／数 Number,都市公園以外の都区市町村立公園 Parks other than urban parks／区市町村立公園 Municipal parks／面積 Area,その他 Others／国民公園等 National parks／数 Number,その他 Others／国民公園等 National parks／面積 Area,その他 Others／公団・公社の設置する公園 Public housing parks／数　Number,その他 Others／公団・公社の設置する公園 Public housing parks／面積 Area
2,13204,4,三鷹市,Mitaka-shi,,180,686067,1,472970,38,125680,-,-,-,-,-,-,140,85592,-,-,1,1825
2,13205,5,青梅市,Ome-shi,,164,886074,-,-,102,603643,-,-,-,-,-,-,59,262556,1,9099,2,10776
2,13206,6,府中市,Fuchu-shi,,353,1845328,3,489027,274,1300051,-,-,-,-,-,-,76,56250,-,-,-,-
2,13207,7,昭島市,Akishima-shi,,91,1151120,-,13124,40,481666,-,616000,-,-,-,-,49,32758,-,-,2,7572
2,13208,8,調布市,Chofu-shi,,227,1317908,3,946863,199,288748,-,-,-,-,-,-,22,56733,-,-,3,25563
2,13209,9,町田市,Machida-shi,,758,4340799,3,1001316,713,3191164,-,-,-,-,-,-,31,57993,-,-,11,90326
2,13210,10,小金井市,Koganei-shi,,145,848428,1,727529,11,67784,-,-,-,-,-,-,129,42290,-,-,4,10825
2,13211,11,小平市,Kodaira-shi,,316,526787,2,161062,313,356165,-,-,-,-,-,-,-,-,-,-,1,9559
2,13212,12,日野市,Hino-shi,,231,1425202,1,601373,200,700201,-,-,-,-,-,-,24,30681,-,-,6,92947
2,13213,13,東村山市,Higashimurayama-shi,,158,851815,3,653624,17,118903,-,-,-,-,-,-,134,67499,-,-,4,11789
2,13214,14,国分寺市,Kokubunji-shi,,163,311271,2,135732,13,83443,-,-,-,-,-,-,146,89816,-,-,2,2280
2,13215,15,国立市,Kunitachi-shi,,85,213163,-,-,25,153917,-,-,-,-,-,-,58,48326,-,-,2,10920
2,13218,16,福生市,Fussa-shi,,72,428325,-,498,55,401219,-,-,-,-,-,-,14,5743,-,-,3,20865
2,13219,17,狛江市,Komae-shi,,79,129624,-,-,27,106081,-,-,-,-,-,-,52,16467,-,-,-,7075
2,13220,18,東大和市,Higashiyamato-shi,,120,725881,2,384978,96,307073,-,-,-,-,-,-,18,23566,-,-,4,10264
2,13221,19,清瀬市,Kiyose-shi,,106,255628,-,-,4,50685,-,-,-,-,-,-,97,193271,-,-,5,11672
2,13222,20,東久留米市,Higashikurume-shi,,150,312023,1,50112,140,193623,-,-,-,-,-,-,4,2485,-,-,5,65803
2,13223,21,武蔵村山市,Musashimurayama-shi,,67,1268297,1,1018828,18,220236,-,-,-,-,-,-,48,29233,-,-,-,-
2,13224,22,多摩市,Tama-shi,,217,2389228,1,339322,209,2013513,-,-,-,-,-,-,-,-,-,-,7,36393
2,13225,23,稲城市,Inagi-shi,,125,997906,-,-,121,984206,-,-,-,-,-,-,-,-,-,-,4,13700
2,13227,24,羽村市,Hamura-shi,,93,357763,-,-,72,339193,-,-,-,-,-,-,20,16104,-,-,1,2465
2,13228,25,あきる野市,Akiruno-shi,,71,443294,1,118447,32,181040,-,-,1,108397,-,-,37,35410,-,-,-,-
2,13229,26,西東京市,Nishitokyo-shi,,273,370578,1,91175,50,167055,-,-,-,-,-,-,217,83912,-,-,5,28436
1,13300,,郡部,All gun,,84,1604368,1,1047012,78,227070,-,-,1,302309,-,-,4,27977,-,-,-,-
2,13303,1,瑞穂町,Mizuho-machi,,56,1218437,1,1047012,55,171425,-,-,-,-,-,-,-,-,-,-,-,-
2,13305,2,日の出町,Hinode-machi,,25,57805,-,-,23,55645,-,-,-,-,-,-,2,2161,-,-,-,-
2,13307,3,檜原村,Hinohara-mura,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13308,4,奥多摩町,Okutama-machi,,3,328125,-,-,-,-,-,-,1,302309,-,-,2,25816,-,-,-,-
1,13350,,島部,All islands,,39,4118480,1,153126,12,135933,-,-,4,3719348,-,-,22,110072,-,-,-,-
2,13361,1,大島町,Oshima-machi,,7,3338681,-,-,1,1155,-,-,1,3277542,-,-,5,59984,-,-,-,-
2,13363,2,新島村,Niijima-mura,,11,236787,-,-,4,12400,-,-,1,191389,-,-,6,32998,-,-,-,-
2,13381,3,三宅村,Miyake-mura,,7,14268,-,-,-,-,-,-,-,-,-,-,7,14268,-,-,-,-
2,13401,4,八丈町,Hachijo-machi,,5,342432,-,-,4,112971,-,-,1,229460,-,-,-,-,-,-,-,-
2,13362,5,利島村,Toshima-mura,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13364,6,神津島村,Kozushima-mura,,1,20957,-,-,-,-,-,-,1,20957,-,-,-,-,-,-,-,-
2,13382,7,御蔵島村,Mikurajima-mura,,1,103,-,-,-,-,-,-,-,-,-,-,1,103,-,-,-,-
2,13402,8,青ヶ島村,Aogashima-mura,,2,1031,-,-,-,-,-,-,-,-,-,-,2,1031,-,-,-,-
2,13421,9,小笠原村,Ogasawara-mura,,5,164221,1,153126,3,9407,-,-,-,-,-,-,1,1688,-,-,-,-
0,99999,10,その他,Others,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,,,,,,,,,,
17-20  公園 （平成29年度末） 17-20  PARKS  ( End of Fiscal Year 2017 ),,,,,,,,,,,,,,,,,,,,,,,
１つの公園が２区(市)にまたがる場合，公園の数は，面積の占める割合の大きい方の区(市)に計上しているが，面積は各々の区(市)ごとに計上している。 ,,,,,,,,,,,,,,,,,,,,,,,
When one park straddles two districts， it is counted as a park in the district having the largest share of the area，  but the actual area is included in each of the districts.,,,,,,,,,,,,,,,,,,,,,,,
注 1) 区部の「その他※１」は，都立公園(水元公園)のうち埼玉県三郷市に該当する面積をあらわしている。,,,,,,,,,,,,,,,,,,,,,,,
2) 区部の「その他※２」は，荒川河口部，中央防波堤埋立地を指す。,,,,,,,,,,,,,,,,,,,,,,,
3) 島部の「その他」は，鳥島，ベヨネース列岩，須美寿島，孀婦岩を指す。,,,,,,,,,,,,,,,,,,,,,,,
"Note: 1) ""Others ※1"" under All ku shows the area of the section of a metropolitan park (Mizumoto Park) that lies in Misato-city， Saitama prefecture. ",,,,,,,,,,,,,,,,,,,,,,,
"2) ""Others ※2"" under All ku indicates the mouth of the Arakawa River and Central Breakwater Landfill Site. ",,,,,,,,,,,,,,,,,,,,,,,
"3) ""Others"" under All islands indicates Tori-shima， Bayonesu-retsugan， Sumisu-jima， and Sofu-gan.",,,,,,,,,,,,,,,,,,,,,,,
資料：都建設局公園緑地部管理課「公園調書」 Source: Bureau of Construction， TMG,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都総数・その他　1:区部・市部・郡部・島部　２:区市町村）,,,,,,,,,,,,,,,,,,,,,,,
（単位　面積　平方メートル）( Area in square meters ),,,,,,,,,,,,,,,,,,,,,,,
