平成27年地価調査地点データ一覧（林地を除く）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
継続地点,都道府県市区町村コード,対象年（和暦）,基準地名,基準地番号（用途）,基準地番号（連番）,都分類地区１,都分類地区２,区市町村名,地番,住居表示,当年価格（円）,前年価格（円）,対前年変動率（％）,地積（㎡）,形状区分,間口（比率）,奥行（比率）,利用の現況,構造,地上階,地下階,周辺の土地の利用の現況,前面道路区分,前面道路の方位,前面道路の幅員(m),前面道路の駅前区分,側道区分,側道方位,ガス,水道,下水道,主要交通施設,交通施設との近接区分,交通施設までの道路距離（m）,用途区分,防火地域,指定建ぺい率（％）,指定容積率（％）,割増容積率考慮区分,高度地区,区域区分,森林法,公園法,公園法普通特別,共通地点区分,前回地価公示都道府県市区町村コード,前回地価公示番号（用途）,前回地価公示番号（連番）,前回価公示価格（円）
,13101,27,千代田,5,24,区部,都心５区,千代田区,大手町一丁目５番３９外,大手町１[sanitize]８[sanitize]１,"21,700,000",,,"3,783",,1,1.5,電話局舎、事務所、店舗兼駐車場,SRC,23F,4B,高層の本社ビル等の建ち並ぶ事務所地域,都道,西,36,,側道,南,ガス,水道,下水道,大手町,近接,,商業,防火,80,"1,300",,,,,,,,,,,
○,13101,27,千代田,5,25,区部,都心５区,千代田区,神田小川町一丁目１番１外,,"4,350,000","4,120,000",5.6,817,不整形,1,1.5,銀行兼事務所,S,8F,1B,中高層の店舗兼事務所の建ち並ぶ商業地域,都道,北西,36,,三方路,,ガス,水道,下水道,淡路町,近接,,商業,防火,80,800,,,,,,,*,13101,5,7,"4,200,000"
○,13101,27,千代田,5,26,区部,都心５区,千代田区,神田司町二丁目１４番１,,"1,080,000","1,020,000",5.9,136,,1.2,1,事務所、作業所兼住宅,RC,5F,2B,中層の事務所、低層の店舗等が混在する商業地域,区道,南西,8,,,,ガス,水道,下水道,淡路町,,210,商業,防火,80,600,,,,,,,,,,,
○,13101,27,千代田,5,27,区部,都心５区,千代田区,神田松永町１３番,,"2,550,000","2,410,000",5.8,235,,1,1.2,店舗、事務所兼倉庫,SRC,9F,1B,中高層の店舗、事務所ビルが建ち並ぶ商業地域,国道,東,44,,側道,南,ガス,水道,下水道,秋葉原,,140,商業,防火,80,800,,,,,,,,,,,
○,13102,27,中央,0,1,区部,都心５区,中央区,佃一丁目２０番１外,佃１[sanitize]５[sanitize]７,"741,000","708,000",4.7,72,,1.2,1,住宅,LS,2F,,小規模な一般住宅等が密集する既成住宅地域,区道,南,10,,,,ガス,水道,下水道,月島,,420,２住居,防火,80,400,,,,,,,,,,,
○,13102,27,中央,0,2,区部,都心５区,中央区,月島三丁目２５０３番,月島３[sanitize]２５[sanitize]３,"1,090,000","981,000",11.1,558,,1,1,共同住宅,RC,9F,,中高層のマンション、住宅等が混在する住宅地域,区道,南東,11,,,,ガス,水道,下水道,勝どき,,500,２住居,防火,80,400,★,,,,,,*,13102,0,4,"1,010,000"
○,13102,27,中央,0,3,区部,都心５区,中央区,晴海五丁目１番４,晴海５[sanitize]１[sanitize]９,"895,000","810,000",10.5,"4,158",,1.2,1,共同住宅兼駐車場,SRC,20F,,高層マンションのほか未利用地も多い住宅地域,区道,南東,20,,三方路,,ガス,水道,下水道,勝どき,,900,商業,防火,80,500,,,,,,,,,,,
○,13102,27,中央,5,1,区部,都心５区,中央区,日本橋馬喰町一丁目１０２番１９外,日本橋馬喰町１[sanitize]６[sanitize]５,"2,080,000","2,020,000",3,331,,1,2.5,店舗兼事務所,SRC,8F,,中高層の卸売店舗、事務所等が建ち並ぶ商業地域,国道,北西,27,,,,ガス,水道,下水道,馬喰町,,60,商業,防火,80,700,,,,,,,,,,,
○,13102,27,中央,5,2,区部,都心５区,中央区,月島三丁目１００９番外,月島３[sanitize]１０[sanitize]４,"1,630,000","1,540,000",5.8,84,,1,1.2,店舗、事務所兼共同住宅,RC,5F,,高層マンションと低層店舗が混在する商業地域,都道,南東,36,,,,ガス,水道,下水道,月島,近接,,商業,防火,80,600,,,,,,,,,,,
○,13102,27,中央,5,3,区部,都心５区,中央区,日本橋堀留町一丁目１番２２,日本橋堀留町１[sanitize]２[sanitize]１５,"1,540,000","1,440,000",6.9,268,,1,2.5,店舗、事務所兼駐車場,SRC,8F,1B,中小規模の店舗兼事務所ビルが多い商業地域,区道,南,16,,,,ガス,水道,下水道,小伝馬町,,400,商業,防火,80,600,,,,,,,,,,,
○,13102,27,中央,5,4,区部,都心５区,中央区,日本橋本町四丁目１５番３,日本橋本町４[sanitize]１[sanitize]１１,"4,480,000","4,240,000",5.7,330,,1,1,事務所兼駐車場,SRC,9F,1B,高層の店舗、事務所ビルが多い既成商業地域,国道,南東,27,,,,ガス,水道,下水道,新日本橋,近接,,商業,防火,80,800,,,,,,,*,13102,5,16,"4,360,000"
○,13102,27,中央,5,5,区部,都心５区,中央区,銀座七丁目５番２外,銀座７[sanitize]１１[sanitize]１４,"5,100,000","4,630,000",10.2,159,,1.5,1,店舗兼事務所,SRC,7F,1B,中高層の店舗、事務所が多い商業地域,区道,北西,13,,,,ガス,水道,下水道,銀座,,360,商業,防火,80,700,,,,,,,,,,,
○,13102,27,中央,5,6,区部,都心５区,中央区,日本橋室町一丁目８番２,日本橋室町１[sanitize]５[sanitize]３,"12,700,000","11,500,000",10.4,730,,1,2,店舗兼事務所,SRC,9F,3B,高層の店舗、事務所ビルが建ち並ぶ商業地域,国道,西,27,,,,ガス,水道,下水道,三越前,近接,,商業,防火,80,800,,,,,,,,,,,
○,13102,27,中央,5,7,区部,都心５区,中央区,日本橋二丁目３番８外,日本橋２[sanitize]３[sanitize]１８,"8,000,000","7,450,000",7.4,278,,1,1.5,店舗,S,8F,1B,中高層の店舗、事務所ビルが建ち並ぶ商業地域,区道,南西,15,,,,ガス,水道,下水道,日本橋,,150,商業,防火,80,700,,,,,,,,,,,
○,13102,27,中央,5,8,区部,都心５区,中央区,京橋二丁目４番５外,京橋２[sanitize]４[sanitize]１５,"12,900,000","11,800,000",9.3,"1,169",不整形,1,1.5,事務所兼駐車場,SRC,13F,2B,高層の店舗、事務所ビルが建ち並ぶ商業地域,区道,南西,33,,背面道,,ガス,水道,下水道,京橋,近接,,商業,防火,80,800,★,,,,,,,,,,
○,13102,27,中央,5,9,区部,都心５区,中央区,新富二丁目２番８,新富２[sanitize]４[sanitize]４,"1,490,000","1,410,000",5.7,96,,1,1.2,店舗、事務所兼住宅,SRC,9F,,中小規模の事務所ビル、店舗が建ち並ぶ商業地域,区道,南東,18,,,,ガス,水道,下水道,新富町,,70,商業,防火,80,600,,,,,,,*,13102,5,14,"1,450,000"
○,13102,27,中央,5,10,区部,都心５区,中央区,築地三丁目９０３番１,築地３[sanitize]９[sanitize]１０,"1,720,000","1,620,000",6.2,257,,1,2.5,店舗兼事務所,SRC,10F,,中高層店舗兼事務所等が多い幹線沿いの商業地域,都道,北西,33,,側道,北東,ガス,水道,下水道,築地,,70,商業,防火,80,700,,,,,,,,,,,
○,13102,27,中央,5,11,区部,都心５区,中央区,日本橋箱崎町３５番２,日本橋箱崎町３５[sanitize]３,"689,000","650,000",6,169,,1,2,事務所兼住宅,RC,7F,1B,中高層事務所、マンション等が混在する商業地域,区道,北西,6,,,,ガス,水道,下水道,水天宮前,,250,商業,防火,80,500,,,,,,,,,,,
○,13102,27,中央,5,12,区部,都心５区,中央区,八丁堀二丁目６番１４,八丁堀２[sanitize]２１[sanitize]１１,"1,400,000","1,330,000",5.3,171,,1,1.5,店舗兼事務所,RC,9F,1B,中高層の店舗、事務所ビル等が多い商業地域,区道,北西,11,,,,ガス,水道,下水道,八丁堀,,100,商業,防火,80,700,,,,,,,,,,,
○,13102,27,中央,5,13,区部,都心５区,中央区,銀座二丁目２番１９外,銀座２[sanitize]６[sanitize]７,"26,400,000","22,600,000",16.8,353,,1,1,店舗兼事務所,RC,8F,1B,中高層の店舗、店舗兼事務所が建ち並ぶ商業地域,国道,南東,27,,,,ガス,水道,下水道,銀座一丁目,近接,,商業,防火,80,800,★,,,,,,*,13102,5,29,"24,300,000"
○,13102,27,中央,5,14,区部,都心５区,中央区,銀座六丁目４番１３外,銀座６[sanitize]８[sanitize]３,"17,700,000","14,800,000",19.6,260,,1,1.2,店舗,S,10F,1B,高層の店舗、店舗兼事務所等が建ち並ぶ商業地域,区道,北東,14.5,,側道,南東,ガス,水道,下水道,銀座,,150,商業,防火,80,700,★,,,,,,*,13102,5,2,"15,700,000"
○,13102,27,中央,5,15,区部,都心５区,中央区,銀座三丁目１０１番１４外,銀座３[sanitize]２[sanitize]９,"8,750,000","7,800,000",12.2,147,,1,2,店舗兼事務所,SRC,8F,1B,中高層の店舗、店舗兼事務所が連坦する商業地域,区道,南東,14.5,,,,ガス,水道,下水道,銀座,,180,商業,防火,80,800,,,,,,,,,,,
○,13102,27,中央,5,16,区部,都心５区,中央区,京橋二丁目６番２８,京橋２[sanitize]６[sanitize]１４,"1,890,000","1,780,000",6.2,308,,1,1.5,店舗兼事務所,RC,6F,,中高層の店舗、事務所ビルが建ち並ぶ商業地域,区道,南西,8,,,,ガス,水道,下水道,京橋,,120,商業,防火,80,700,,,,,,,,,,,
○,13102,27,中央,5,17,区部,都心５区,中央区,銀座二丁目２０３番１７,銀座２[sanitize]１２[sanitize]１４,"5,100,000","4,810,000",6,319,,1,1.2,事務所,SRC,10F,1B,高層の店舗、事務所ビルが建ち並ぶ商業地域,都道,北西,44,,,,ガス,水道,下水道,東銀座,,120,商業,防火,80,800,,,,,,,,,,,
○,13102,27,中央,5,18,区部,都心５区,中央区,八重洲二丁目１０番１２,八重洲２[sanitize]１０[sanitize]５,"1,610,000","1,510,000",6.6,167,,1,2.5,店舗兼事務所,RC,5F,,中小規模の事務所ビルが建ち並ぶ商業地域,区道,北東,6,,,,ガス,水道,下水道,京橋,,250,商業,防火,80,800,,,,,,,,,,,
○,13102,27,中央,5,19,区部,都心５区,中央区,日本橋蛎殻町一丁目２６番１０外,日本橋蛎殻町１[sanitize]２６[sanitize]６,"970,000","910,000",6.6,117,,1.2,1,事務所,SRC,7F,,中高層事務所ビル、低層店舗が混在する商業地域,区道,北東,11,,,,ガス,水道,下水道,水天宮前,,210,商業,防火,80,500,,,,,,,,,,,
○,13102,27,中央,5,20,区部,都心５区,中央区,日本橋人形町二丁目２１番１０,日本橋人形町２[sanitize]２１[sanitize]１０,"1,240,000","1,150,000",7.8,147,,1,2,店舗、事務所兼住宅,S,7F,,中高層の店舗、事務所ビル等が多い商業地域,区道,南東,15,,,,ガス,水道,下水道,人形町,,160,商業,防火,80,500,,,,,,,*,13102,5,20,"1,180,000"
○,13102,27,中央,5,21,区部,都心５区,中央区,築地七丁目３番１４,築地７[sanitize]１０[sanitize]１１,"1,130,000","1,050,000",7.6,133,,1,1.5,店舗兼事務所,RC,6F,1B,中高層店舗兼事務所や共同住宅等が多い商業地域,区道,北西,15,,,,ガス,水道,下水道,築地,,400,商業,防火,80,500,,,,,,,,,,,
○,13102,27,中央,5,22,区部,都心５区,中央区,東日本橋二丁目１２番２３外,東日本橋２[sanitize]２３[sanitize]４,"730,000","690,000",5.8,94,,1,1.5,事務所,RC,6F,1B,中小規模の事務所ビルが多い古くからの商業地域,区道,南,8,,,,ガス,水道,下水道,東日本橋,,250,商業,防火,80,500,,,,,,,,,,,
○,13102,27,中央,5,23,区部,都心５区,中央区,湊一丁目１６番２,湊１[sanitize]２[sanitize]７,"885,000","841,000",5.2,127,,1,2,店舗兼事務所,SRC,8F,,中層の店舗兼事務所ビルが中心の商業地域,区道,南,15,,背面道,,ガス,水道,下水道,八丁堀,,250,商業,防火,80,500,,,,,,,,,,,
○,13102,27,中央,5,24,区部,都心５区,中央区,晴海三丁目３番６,晴海３[sanitize]３[sanitize]３,"1,320,000","1,250,000",5.6,"1,882",,1.5,1,事務所,S,9F,,高層の事務所ビル等が建ち並ぶ商業地域,区道,南東,50,,四方路,,ガス,水道,下水道,勝どき,,680,商業,防火,80,500,,,,,,,,,,,
○,13102,27,中央,5,25,区部,都心５区,中央区,日本橋本町二丁目２番２外,日本橋本町２[sanitize]６[sanitize]３,"2,380,000","2,260,000",5.3,499,,1,1.2,事務所,SRC,9F,2B,高層の事務所ビル等が建ち並ぶ中心的商業地域,都道,西,44,,背面道,,ガス,水道,下水道,三越前,,270,商業,防火,80,800,,,,,,,,,,,
○,13102,27,中央,5,26,区部,都心５区,中央区,日本橋浜町二丁目５４番１,日本橋浜町２[sanitize]２４[sanitize]８,"1,120,000","1,050,000",6.7,144,,2,1,店舗兼共同住宅,SRC,10F,,中高層店舗兼共同住宅、中層店舗が多い商業地域,都道,南東,27,,側道,北東,ガス,水道,下水道,浜町,,240,商業,防火,80,700,,,,,,,,,,,
○,13103,27,港,0,1,区部,都心５区,港区,高輪三丁目２番８１,高輪３[sanitize]５[sanitize]１２,"1,080,000","1,040,000",3.8,411,,1,1.2,共同住宅、車庫,RC,3F,,中低層共同住宅、戸建住宅等が混在する住宅地域,区道,東,5.3,,,,ガス,水道,下水道,高輪台,,240,１住居,準防,60,300,,高度,,,,,,,,,
○,13103,27,港,0,2,区部,都心５区,港区,白金台五丁目２５６番８,白金台５[sanitize]４[sanitize]１４,"1,140,000","1,110,000",2.7,601,,1,1.5,共同住宅,RC,3F,1B,マンションの多い閑静な住宅地域,区道,南西,4.4,,,,ガス,水道,下水道,白金台,,700,１中専,準防,60,300,,高度,,,,,,,,,
○,13103,27,港,0,3,区部,都心５区,港区,西麻布三丁目４番２１,西麻布３[sanitize]１５[sanitize]８,"1,480,000","1,410,000",5,321,,1,1.5,共同住宅,S,3F,,一般住宅、共同住宅が混在する閑静な住宅地域,区道,東,5.5,,,,ガス,水道,下水道,六本木,,850,１中専,準防,60,200,,高度,,,,,,,,,
○,13103,27,港,0,4,区部,都心５区,港区,南青山四丁目４８７番,南青山４[sanitize]２６[sanitize]１８,"1,470,000","1,360,000",8.1,183,,1,1,事務所兼住宅,RC,3F,1B,住宅、事務所等が混在する住宅地域,区道,北西,5.3,,,,ガス,水道,下水道,表参道,,560,１中専,準防,60,300,,高度,,,,,,,,,
○,13103,27,港,0,5,区部,都心５区,港区,南青山七丁目２７４番,南青山７[sanitize]１３[sanitize]５,"1,310,000","1,250,000",4.8,652,,1,1.5,共同住宅,RC,5F,,一般住宅のほかにマンションが建ち並ぶ住宅地域,区道,北東,5.6,,,,ガス,水道,下水道,表参道,,"1,100",１中専,準防,60,200,,高度,,,,,,,,,
○,13103,27,港,0,6,区部,都心５区,港区,六本木五丁目３６７番１,六本木５[sanitize]１３[sanitize]１,"1,830,000","1,760,000",4,365,,1,1.5,共同住宅,RC,4F,1B,マンションに大使館等も見られる閑静な住宅地域,区道,北,8.5,,側道,西,ガス,水道,下水道,麻布十番,,400,２中専,準防,60,300,,高度,,,,,*,13103,0,2,"1,790,000"
○,13103,27,港,0,7,区部,都心５区,港区,東麻布三丁目４番２３,東麻布３[sanitize]４[sanitize]９,"1,210,000","1,160,000",4.3,160,,1.2,1,事務所兼住宅,LS,4F,,マンションのほかに事務所等も混在する住宅地域,区道,東,6,,,,ガス,水道,下水道,麻布十番,,250,１住居,準防,60,300,,高度,,,,,,,,,
○,13103,27,港,0,8,区部,都心５区,港区,高輪一丁目７０１番６１,高輪１[sanitize]９[sanitize]５,"1,190,000","1,160,000",2.6,151,,1,1.2,住宅,W,2F,,中規模一般住宅が多い区画整然とした住宅地域,区道,南,6.5,,,,ガス,水道,下水道,白金高輪,,250,１中専,準防,60,300,,高度,,,,,*,13103,0,9,"1,170,000"
○,13103,27,港,0,9,区部,都心５区,港区,芝浦四丁目１番３４,芝浦４[sanitize]５[sanitize]１６,"1,200,000","1,140,000",5.3,371,,1,2,共同住宅,RC,9F,,高層共同住宅のほか事務所ビル等が混在する地域,区道,東,10.9,,,,ガス,水道,下水道,田町,,800,準工,防火,60,400,,,,,,,,,,,
○,13103,27,港,5,1,区部,都心５区,港区,虎ノ門一丁目１番３４外,虎ノ門１[sanitize]３[sanitize]２,"9,200,000","7,820,000",17.6,807,,2,1,事務所兼車庫,SRC,9F,1B,中高層の店舗、事務所が多い商業地域,都道,北,33,,背面道,,ガス,水道,下水道,虎ノ門,近接,,商業,防火,80,800,,,,,,,,,,,
○,13103,27,港,5,2,区部,都心５区,港区,赤坂三丁目１１１４番外,赤坂３[sanitize]１１[sanitize]１９,"2,140,000","2,020,000",5.9,200,,1,1.5,店舗兼住宅,RC,5F,1B,中層の店舗が建ち並ぶ商業地域,区道,南西,8.1,,側道,北西,ガス,水道,下水道,赤坂見附,,220,商業,防火,80,500,,,,,,,,,,,
○,13103,27,港,5,3,区部,都心５区,港区,虎ノ門一丁目２２４番７,虎ノ門１[sanitize]１６[sanitize]８,"2,590,000","2,350,000",10.2,150,,1,1.5,事務所,SRC,7F,1B,中高層の事務所ビルが建ち並ぶ商業地域,区道,南東,11,,,,ガス,水道,下水道,虎ノ門,,240,商業,防火,80,700,,,,,,,,,,,
○,13103,27,港,5,4,区部,都心５区,港区,高輪二丁目１番９,高輪２[sanitize]１９[sanitize]１９,"2,260,000","1,990,000",13.6,737,,1,2,事務所,RC,6F,1B,中高層の事務所、店舗等が混在する路線商業地域,国道,北西,33,,,,ガス,水道,下水道,泉岳寺,近接,,商業,防火,80,600,,,,,,,*,13103,5,10,"2,120,000"
