実数・増減率,年次・四半期・月次コード,年次・四半期・月次,調査世帯数(世帯）,世帯人員（人）,有業人員（人）,世帯主平均年齢（歳）,実収入（円）,実収入／経常収入（円）,実収入／経常収入／勤め先収入（円）,実収入／経常収入／勤め先収入／世帯主の配偶者の収入（円）,実収入／経常収入／勤め先収入／他の世帯員収入（円）,実収入／経常収入／事業・内職収入（円）,実収入／経常収入／他の経常収入（円）,実収入／経常収入／他の経常収入／社会保障給付（円）,実収入／特別収入（円）,可処分所得（円）,消費支出（円）,消費支出／食料（円）,消費支出／住居（円）,消費支出／光熱・水道（円）,消費支出／家具・家事用品（円）,消費支出／被服及び履物（円）,消費支出／保健医療（円）,消費支出／交通・通信（円）,消費支出／教育（円）,消費支出／教養娯楽（円）,消費支出／その他の消費支出（円）
meimoku,nen,対前年（同期・同月）名目増加率_平成28年平均,-,-,-,-,-1.1,-3,-10.7,2.3,-17.6,-2.9,-2.1,-4.1,75.2,2.6,-9.2,0,-5.7,-13.2,-6.4,-9.7,-15.3,-22.1,-79.9,-13.4,-7.4
meimoku,nen,対前年（同期・同月）名目増加率_平成29年平均,-,-,-,-,-6.6,-4.7,-30,-34.3,-27.2,-15.5,-1.3,2.1,-48.3,-8.6,1.7,0.7,-5.2,1.9,-2.8,-6.3,10.8,14.5,-14.7,-0.3,1.4
meimoku,nen,対前年（同期・同月）名目増加率_平成30年平均,-,-,-,-,22,20.7,76.9,65.2,83.8,-40.9,19.8,18,75.2,24.9,4.8,2.8,8.5,5.4,14.4,-3.3,3.4,11.6,128.8,3.7,2.6
meimoku,nen,対前年（同期・同月）名目増加率_平成31年・令和元年平均,-,-,-,-,9.4,10.3,30.6,14,39.4,22.9,7.6,8.5,-15.4,9.3,0.5,-0.9,-9.9,-5.3,9.5,20.3,4.5,-3.9,69.9,7.2,-0.2
meimoku,sihan,対前年（同期・同月）名目増加率_平成30年10～12月,-,-,-,-,28.4,26.1,79.8,118.7,56.5,-56.6,27.8,25.6,152.8,28.6,5.5,2.7,61.2,-6,-8.3,2.4,-5.2,1.5,251.1,0.4,4.2
meimoku,sihan,対前年（同期・同月）名目増加率_平成31年 1～ 3月,-,-,-,-,12.8,12.1,4.9,43.3,-14.5,-27.8,15.7,15.1,27.4,13.7,0.7,-0.6,2,-9.2,17.6,1.5,-8.2,-4.2,418,11.3,0.5
meimoku,sihan,対前年（同期・同月）名目増加率_平成31年 4～令和元年 6月,-,-,-,-,18.7,20.2,40.3,37.4,41.2,51.1,17.5,16.6,-35.6,17.6,-2.9,-0.8,-30.8,0.5,-8.4,27.2,-2.5,-31.6,...,2.6,5.1
meimoku,sihan,対前年（同期・同月）名目増加率_令和元年 7～ 9月,-,-,-,-,12.3,11.9,29.5,-4.9,49.7,54.2,7.7,10.9,24.9,11.1,6.5,-1.6,34.8,-8.1,-1.3,22.8,24.1,36.9,-51.6,3.1,1.2
meimoku,sihan,対前年（同期・同月）名目増加率_令和元年10～12月,-,-,-,-,-2.5,-0.7,48.2,-10.8,97.8,45.1,-5.1,-3.2,-49.3,-1.1,-2,-0.7,-30.8,-2.9,35.1,25.1,6.6,-0.1,-97.6,12.7,-7
meimoku,tuki,対前年（同期・同月）名目増加率_平成30年12月,-,-,-,-,19.6,19.2,131.4,110.7,148.1,-56.9,17.9,16.6,42.3,19.5,1.7,-2.8,57.4,-14.6,7.6,-4,-15.2,1.4,136.3,-2.5,5.4
meimoku,tuki,対前年（同期・同月）名目増加率_平成31年 1月,-,-,-,-,12.1,7.3,16.3,29.8,4.1,-49.4,26.8,11.3,54.9,16.5,3.2,0.5,156.9,-10.4,-0.5,5.2,6.1,-3.6,-89.9,0.7,-5
meimoku,tuki,対前年（同期・同月）名目増加率_平成31年 2月,-,-,-,-,11.7,11.9,-2.2,87.7,-32.7,-34.5,13.7,13.2,1.4,12.8,4.9,-4.9,102.8,-7.3,31.6,-12.5,-21.4,7.6,454.2,10.9,6.7
meimoku,tuki,対前年（同期・同月）名目増加率_平成31年 3月,-,-,-,-,21.9,21,1.4,27.1,-9,36.7,59.8,169.7,25.1,20.1,-5.3,2.4,-70.5,-10.1,22.7,10.2,-5.7,-19.7,...,21.8,1.9
meimoku,tuki,対前年（同期・同月）名目増加率_平成31年 4月,-,-,-,-,21.1,21.5,24.4,66.2,11.2,33.1,21.2,20.7,-2.7,19,-8.8,1.3,-31.3,-1.4,-27.5,16.3,-14.4,-42.2,...,-13.2,-1.9
meimoku,tuki,対前年（同期・同月）名目増加率_令和元年 5月,-,-,-,-,-10.2,1,0.6,14.5,-4.2,62.3,-18.3,-64,-58.4,-56.9,6.4,-1.5,-18.2,1.6,-15.6,19.4,27.8,9.9,...,14.4,3.3
meimoku,tuki,対前年（同期・同月）名目増加率_令和元年 6月,-,-,-,-,20.5,21.1,88.2,38.8,105.2,58.3,15.4,15,-33,20.9,-5.8,-2.2,-41,1.9,22.7,42.8,-11.3,-47.7,-30.5,8.6,14.7
meimoku,tuki,対前年（同期・同月）名目増加率_令和元年 7月,-,-,-,-,-10.9,-11.9,-7.1,-44.4,16.6,124.4,-45.5,-44.4,-1.3,-62,8.8,-1.9,122.3,-9.8,-27.7,37.4,-8.2,75.7,12,19.6,-15.2
meimoku,tuki,対前年（同期・同月）名目増加率_令和元年 8月,-,-,-,-,15.3,15.8,47.4,8.1,67.9,22.8,14,14.5,-6,16.4,6.2,-1.3,25.3,-10.5,-7.7,29.6,56,7.3,-31.2,-3.4,14.6
meimoku,tuki,対前年（同期・同月）名目増加率_令和元年 9月,-,-,-,-,12.7,2.5,60.3,37.9,73.7,31.8,-69.6,-58.7,142.6,-8.5,4.3,-1.5,-24.9,-4.1,42.4,0.4,51,25.5,-100,-4.2,8.8
meimoku,tuki,対前年（同期・同月）名目増加率_令和元年10月,-,-,-,-,-3.9,-3.8,57.9,-9.9,143,83.8,-7.5,-6.3,-12,-2.4,-10.7,-5.3,-56.5,-8.8,85.4,28.1,2.4,-14.8,-99.6,14.6,-21.1
meimoku,tuki,対前年（同期・同月）名目増加率_令和元年11月,-,-,-,-,-35.6,-13.3,76.3,38,102.5,12.4,-81.5,-82.7,-81.4,-39.7,-8.2,0.4,-63.8,-0.7,9.1,16.9,-4.5,-7.9,-92,16.1,-14.7
meimoku,tuki,対前年（同期・同月）名目増加率_令和元年12月,-,-,-,-,4.2,4.1,24.4,-39.9,68.3,59,2.1,2.6,8.2,5.9,11.2,2.2,30.6,0.9,18,33,21.4,23.6,-93.1,8.3,12.3
jissitu,nen,対前年（同期・同月）実質増加率_平成28年平均,-,-,-,-,-1,-2.9,-10.6,2.4,-17.5,-2.8,-2,-4,75.4,2.7,-9.1,-1.5,-5.1,-3.3,-6.4,-10.3,-16.1,-21.2,-80.1,-14.7,-
jissitu,nen,対前年（同期・同月）実質増加率_平成29年平均,-,-,-,-,-6.8,-4.9,-30.1,-34.4,-27.3,-15.7,-1.5,1.9,-48.4,-8.8,1.5,0.3,-5,0.5,-2.7,-6.8,10,15.1,-15,-0.8,-
jissitu,nen,対前年（同期・同月）実質増加率_平成30年平均,-,-,-,-,20.6,19.3,74.8,63.2,81.6,-41.6,18.4,16.6,73.1,23.4,3.6,1.3,8.5,1.2,15,-3.8,1.6,11,127.7,2.4,-
jissitu,nen,対前年（同期・同月）実質増加率_平成31年・令和元年平均,-,-,-,-,8.4,9.3,29.4,13,38.2,21.8,6.6,7.5,-16.2,8.3,-0.4,-1.6,-10.7,-8.3,6.7,18.9,3.6,-3.4,71.6,5.4,-
jissitu,sihan,対前年（同期・同月）実質増加率_平成30年10～12月,-,-,-,-,27.1,24.9,78,116.5,55,-57,26.5,24.4,150.3,27.3,4.5,2.1,61,-10.6,-7.6,1.6,-6.4,1.6,248.3,-1.3,-
jissitu,sihan,対前年（同期・同月）実質増加率_平成31年 1～ 3月,-,-,-,-,12,11.3,4.2,42.3,-15.1,-28.3,14.9,14.3,26.5,12.9,0,0.5,1.5,-15.5,16.4,0.7,-9.4,-3.7,413.9,9.3,-
jissitu,sihan,対前年（同期・同月）実質増加率_平成31年 4～令和元年 6月,-,-,-,-,17.2,18.7,38.5,35.6,39.4,49.2,16,15.1,-36.4,16.1,-4.1,-2.3,-31.2,-4.3,-11.1,26.1,-3.3,-31,-,0.8,-
jissitu,sihan,対前年（同期・同月）実質増加率_令和元年 7～ 9月,-,-,-,-,11.5,11.1,28.6,-5.6,48.7,53.1,7,10.1,24,10.3,5.8,-2.2,34,-9.5,-4.2,21.9,23.7,38.3,-51.9,1.9,-
jissitu,sihan,対前年（同期・同月）実質増加率_令和元年10～12月,-,-,-,-,-3.4,-1.6,46.9,-11.6,96,43.8,-5.9,-4.1,-49.8,-2,-2.9,-2.6,-32.1,-2.3,31,22.3,5.5,-0.3,-97.4,10.1,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成30年12月,-,-,-,-,19.2,18.8,130.7,110.1,147.4,-57,17.5,16.3,41.9,19.1,1.4,-1.5,57.1,-19.5,8.8,-4.4,-16.2,2.1,134.4,-4.1,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成31年 1月,-,-,-,-,11.5,6.8,15.7,29.2,3.6,-49.7,26.2,10.7,54.1,15.9,2.7,2,156.1,-16.3,-0.1,4.3,4.8,-3,-90,-1.7,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成31年 2月,-,-,-,-,11,11.2,-2.8,86.6,-33.1,-34.9,13,12.5,0.8,12.1,4.3,-3.6,101.8,-14,30.4,-13.5,-22.3,8.2,449.8,8.6,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成31年 3月,-,-,-,-,20.8,19.9,0.5,26,-9.8,35.5,58.4,167.3,24,19,-6.1,2.5,-70.6,-16.4,19.8,9.5,-6.9,-19.2,-,20.5,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成31年 4月,-,-,-,-,19.3,19.7,22.6,63.7,9.6,31.1,19.4,18.9,-4.1,17.2,-10.1,0,-31.6,-7.3,-29.7,15.1,-15.1,-41.9,-,-15.4,-
jissitu,tuki,対前年（同期・同月）実質増加率_令和元年 5月,-,-,-,-,-11.3,-0.2,-0.6,13.1,-5.3,60.4,-19.3,-64.4,-58.9,-57.4,5.1,-2.8,-18.7,-3,-18.6,18.2,26.5,10.7,-,12.8,-
jissitu,tuki,対前年（同期・同月）実質増加率_令和元年 6月,-,-,-,-,19.1,19.7,86,37.2,102.8,56.4,14,13.6,-33.8,19.5,-6.9,-3.9,-41.4,-1.6,19.8,41.7,-11.8,-47,-31,6.9,-
jissitu,tuki,対前年（同期・同月）実質増加率_令和元年 7月,-,-,-,-,-11.8,-12.8,-8,-45,15.4,122.2,-46,-45,-2.3,-62.4,7.7,-3.1,120.8,-12.3,-29.5,35.8,-8.9,77.7,11.2,17.9,-
jissitu,tuki,対前年（同期・同月）実質増加率_令和元年 8月,-,-,-,-,14.6,15.1,46.5,7.5,66.9,22.1,13.3,13.8,-6.6,15.7,5.6,-1.6,24.4,-12,-10.7,28.1,56.2,8.3,-31.7,-4.5,-
jissitu,tuki,対前年（同期・同月）実質増加率_令和元年 9月,-,-,-,-,12.3,2.1,59.7,37.4,73,31.3,-69.7,-58.9,141.6,-8.9,3.9,-2.1,-25.4,-4.3,38,0.8,50.7,26.9,-100,-5.1,-
jissitu,tuki,対前年（同期・同月）実質増加率_令和元年10月,-,-,-,-,-4.4,-4.3,57.1,-10.3,141.8,82.9,-8,-6.8,-12.4,-2.9,-11.1,-6.3,-57.3,-7.9,79.3,26,1.4,-14.5,-99.6,12.1,-
jissitu,tuki,対前年（同期・同月）実質増加率_令和元年11月,-,-,-,-,-36.2,-14.1,74.7,36.8,100.7,11.4,-81.7,-82.9,-81.6,-40.2,-9,-1.7,-64.4,-0.3,6.1,14.5,-5.3,-8,-91.5,13.7,-
jissitu,tuki,対前年（同期・同月）実質増加率_令和元年12月,-,-,-,-,3,2.9,22.9,-40.6,66.3,57.1,0.9,1.4,6.9,4.6,9.9,-0.1,28.3,1.6,14.6,29,20.3,22.5,-92.7,5.4,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都生計分析調査　令和元年12月,,,,,,,,,,,,,,,,,,,,,,,,,,,
主　　要　　指　　標　　　３　　―　無職世帯　―,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyoutou0,hyoutou0,hyoutou0,hyoutou0,hyoutou0,hyoutou1,hyoutou2,hyoutou3,hyoutou3,hyoutou2,hyoutou2,hyoutou3,hyoutou1,hyoutou0,hyoutou0,hyoutou1,hyoutou1,hyoutou1,hyoutou1,hyoutou1,hyoutou1,hyoutou1,hyoutou1,hyoutou1,hyoutou1,,,
youto001,youto002,youto003,youto004,youto005,youto006,youto007,youto008,youto009,youto010,youto011,youto012,youto013,youto014,youto015,youto016,youto017,youto018,youto019,youto020,youto021,youto022,youto023,youto024,youto025,,,
