種別,地域階層,地域,和暦（年度）,西暦（年度）,建物面積（㎡）,建物面積／設置者所有（㎡）,建物面積／設置者建物／校舎（㎡）,建物面積／設置者所有／屋内運動場（講堂を含む）（㎡）,建物面積／設置者所有／寄宿舎（㎡）,建物面積／借用（㎡）,建物面積／設置者所有建物の構造別（再掲）／木造（㎡）,建物面積／設置者所有建物の構造別（再掲）／鉄筋コンクリート造（㎡）,建物面積／設置者所有建物の構造別（再掲）／鉄骨造・その他（㎡）
私立幼稚園,2,三宅村,令和5,2023,－,－,－,－,－,－,－,－,－
私立幼稚園,2,御蔵島村,令和5,2023,－,－,－,－,－,－,－,－,－
私立幼稚園,2,八丈町,令和5,2023,－,－,－,－,－,－,－,－,－
私立幼稚園,2,青ヶ島村,令和5,2023,－,－,－,－,－,－,－,－,－
私立幼稚園,2,小笠原村,令和5,2023,－,－,－,－,－,－,－,－,－
私立高等学校,0,総数,平成30,2018,3161301,3154299,2454872,641724,57703,7002,21269,2803975,329055
私立高等学校,0,総数,令和元,2019,3153908,3146431,2445264,642012,59155,7477,21159,2794533,330739
私立高等学校,0,総数,令和2,2020,3140004,3132316,2432771,644281,55264,7688,19673,2782406,330237
私立高等学校,0,総数,令和3,2021,3137553,3128846,2422459,651085,55302,8707,19310,2770278,339258
私立高等学校,0,総数,令和4,2022,3139488,3132750,2430029,648530,54191,6738,19052,2767076,346622
私立高等学校,0,総数,令和5,2023,3146701,3140344,2435122,651773,53449,6357,19001,2773307,348036
私立高等学校,1,区部,令和5,2023,2305859,2299502,1805907,462627,30968,6357,10313,2052777,236412
私立高等学校,2,千代田区,令和5,2023,179803,179803,145332,34310,161,－,－,130823,48980
私立高等学校,2,中央区,令和5,2023,4499,4499,3751,748,－,－,－,4499,－
私立高等学校,2,港区,令和5,2023,186117,184073,143558,40515,－,2044,26,169061,14986
私立高等学校,2,新宿区,令和5,2023,105507,105507,84169,21338,－,－,336,96579,8592
私立高等学校,2,文京区,令和5,2023,149787,149787,125027,23287,1473,－,242,134911,14634
私立高等学校,2,台東区,令和5,2023,23662,23662,17897,5100,665,－,－,22162,1500
私立高等学校,2,墨田区,令和5,2023,38499,38499,32272,6227,－,－,158,16277,22064
私立高等学校,2,江東区,令和5,2023,22011,22011,18544,3467,－,－,173,18719,3119
私立高等学校,2,品川区,令和5,2023,120140,120140,95160,20436,4544,－,538,105962,13640
私立高等学校,2,目黒区,令和5,2023,76826,76826,62512,10757,3557,－,1410,69265,6151
私立高等学校,2,大田区,令和5,2023,84859,84859,62915,20649,1295,－,65,82803,1991
私立高等学校,2,世田谷区,令和5,2023,353874,352449,268063,79011,5375,1425,3008,322359,27082
私立高等学校,2,渋谷区,令和5,2023,107701,107701,86974,19393,1334,－,914,93699,13088
私立高等学校,2,中野区,令和5,2023,74288,74288,56555,16272,1461,－,492,68142,5654
私立高等学校,2,杉並区,令和5,2023,184222,181334,143266,38068,－,2888,712,172843,7779
私立高等学校,2,豊島区,令和5,2023,166621,166621,134132,32347,142,－,606,151467,14548
私立高等学校,2,北区,令和5,2023,154080,154080,113023,37296,3761,－,407,149399,4274
私立高等学校,2,荒川区,令和5,2023,19279,19279,16469,2810,－,－,－,18059,1220
私立高等学校,2,板橋区,令和5,2023,90918,90918,73803,15864,1251,－,1035,88549,1334
私立高等学校,2,練馬区,令和5,2023,59609,59609,46087,12773,749,－,25,55685,3899
私立高等学校,2,足立区,令和5,2023,26320,26320,19655,6665,－,－,－,26188,132
私立高等学校,2,葛飾区,令和5,2023,23730,23730,15655,6245,1830,－,－,23624,106
私立高等学校,2,江戸川区,令和5,2023,53507,53507,41088,9049,3370,－,166,31702,21639
私立高等学校,1,市部,令和5,2023,840842,840842,629215,189146,22481,－,8688,720530,111624
私立高等学校,2,八王子市,令和5,2023,155068,155068,114794,36683,3591,－,806,141244,13018
私立高等学校,2,立川市,令和5,2023,36767,36767,29925,6842,－,－,－,29903,6864
私立高等学校,2,武蔵野市,令和5,2023,60221,60221,50937,9284,－,－,328,57095,2798
私立高等学校,2,三鷹市,令和5,2023,36920,36920,25283,11637,－,－,－,32074,4846
私立高等学校,2,青梅市,令和5,2023,－,－,－,－,－,－,－,－,－
私立高等学校,2,府中市,令和5,2023,17168,17168,11646,5522,－,－,227,15882,1059
私立高等学校,2,昭島市,令和5,2023,7883,7883,4736,1768,1379,－,194,5432,2257
私立高等学校,2,調布市,令和5,2023,44765,44765,32666,12099,－,－,－,29663,15102
私立高等学校,2,町田市,令和5,2023,101022,101022,71722,28410,890,－,546,93811,6665
私立高等学校,2,小金井市,令和5,2023,64608,64608,46870,13264,4474,－,－,58745,5863
私立高等学校,2,小平市,令和5,2023,69648,69648,44842,17423,7383,－,113,60595,8940
私立高等学校,2,日野市,令和5,2023,－,－,－,－,－,－,－,－,－
私立高等学校,2,東村山市,令和5,2023,42569,42569,30132,11622,815,－,1482,16965,24122
私立高等学校,2,国分寺市,令和5,2023,22574,22574,18186,4388,－,－,－,6897,15677
私立高等学校,2,国立市,令和5,2023,44425,44425,38746,5679,－,－,59,43798,568
私立高等学校,2,福生市,令和5,2023,－,－,－,－,－,－,－,－,－
私立高等学校,2,狛江市,令和5,2023,－,－,－,－,－,－,－,－,－
私立高等学校,2,東大和市,令和5,2023,－,－,－,－,－,－,－,－,－
私立高等学校,2,清瀬市,令和5,2023,4665,4665,3380,1285,－,－,97,4568,－
私立高等学校,2,東久留米市,令和5,2023,15779,15779,7735,4095,3949,－,4702,10858,219
私立高等学校,2,武蔵村山市,令和5,2023,18665,18665,16215,2450,－,－,－,18665,－
私立高等学校,2,多摩市,令和5,2023,17926,17926,15525,2401,－,－,－,17914,12
私立高等学校,2,稲城市,令和5,2023,12129,12129,10016,2113,－,－,－,12129,－
私立高等学校,2,羽村市,令和5,2023,－,－,－,－,－,－,－,－,－
私立高等学校,2,あきる野市,令和5,2023,42328,42328,34238,8090,－,－,134,39305,2889
私立高等学校,2,西東京市,令和5,2023,25712,25712,21621,4091,－,－,－,24987,725
私立高等学校,1,郡部,令和5,2023,－,－,－,－,－,－,－,－,－
私立高等学校,2,瑞穂町,令和5,2023,－,－,－,－,－,－,－,－,－
私立高等学校,2,日の出町,令和5,2023,－,－,－,－,－,－,－,－,－
私立高等学校,2,檜原村,令和5,2023,－,－,－,－,－,－,－,－,－
私立高等学校,2,奥多摩町,令和5,2023,－,－,－,－,－,－,－,－,－
私立高等学校,1,島部,令和5,2023,－,－,－,－,－,－,－,－,－
私立高等学校,2,大島町,令和5,2023,－,－,－,－,－,－,－,－,－
私立高等学校,2,利島村,令和5,2023,－,－,－,－,－,－,－,－,－
私立高等学校,2,新島村,令和5,2023,－,－,－,－,－,－,－,－,－
私立高等学校,2,神津島村,令和5,2023,－,－,－,－,－,－,－,－,－
私立高等学校,2,三宅村,令和5,2023,－,－,－,－,－,－,－,－,－
私立高等学校,2,御蔵島村,令和5,2023,－,－,－,－,－,－,－,－,－
私立高等学校,2,八丈町,令和5,2023,－,－,－,－,－,－,－,－,－
私立高等学校,2,青ヶ島村,令和5,2023,－,－,－,－,－,－,－,－,－
私立高等学校,2,小笠原村,令和5,2023,－,－,－,－,－,－,－,－,－
,,,,,,,,,,,,,
令和５年度　学校基本統計（学校基本調査報告）,,,,,,,,,,,,,
２０－３　学校施設調査　区市町村、用途、構造別学校建物面積,,,,,,,,,,,,,
注１）学校建物面積とは、各階ごとの水平投影面積の合計である。,,,,,,,,,,,,,
注２）学校建物面積には、仮設校舎及び教職員住宅は含まない。,,,,,,,,,,,,,
注３）地域区分は、認可された学校の位置により建物面積を一括計上した。したがって、他の県や区市町村にあるものも含まれる。,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部　2:区市町村）,,,,,,,,,,,,,
